step,energy,activation_count,temperature
0,-2584.5147161687137,419,3.0
1,-2397.319585312237,385,2.955
2,-2502.2342719534286,387,2.910675
3,-2438.695856764279,379,2.8670148749999997
4,-2494.997035069289,381,2.8240096518749995
5,-2455.6888101036843,375,2.7816495070968745
6,-2719.875518841529,389,2.7399247644904214
7,-2685.840514811998,388,2.698825893023065
8,-2717.316303992813,382,2.658343504627719
9,-2546.02825178569,369,2.6184683520583034
10,-2960.9043686049013,390,2.579191326777429
11,-2742.715203035346,380,2.5405034568757676
12,-3038.295541293351,391,2.502395905022631
13,-3078.626088498795,388,2.4648599664472917
14,-2938.408584340636,377,2.427887066950582
15,-3022.743947411061,377,2.3914687609463234
16,-3085.13883704364,381,2.3555967295321287
17,-2847.3037983240747,371,2.320262778589147
18,-2850.401574466725,374,2.2854588369103097
19,-2839.7549579830466,365,2.251176954356655
20,-2883.9172126212293,368,2.217409300041305
21,-2908.2275157481217,364,2.1841481605406856
22,-3205.3472103675404,381,2.1513859381325755
23,-3230.887905237724,382,2.119115149060587
24,-3081.7290901489837,373,2.087328421824678
25,-2890.339012601352,352,2.056018495497308
26,-3307.6725948147428,387,2.0251782180648483
27,-3132.8991828324,375,1.9948005447938755
28,-3080.81056366338,367,1.9648785366219672
29,-3160.580490785906,366,1.9354053585726376
30,-3114.009828228388,363,1.906374278194048
31,-3244.4353952243537,370,1.8777786640211374
32,-3288.791322398345,374,1.8496119840608203
33,-3288.908960414222,373,1.821867804299908
34,-3289.773919840792,372,1.7945397872354092
35,-3476.3318872709187,382,1.767621690426878
36,-3331.8027787212072,370,1.7411073650704747
37,-3381.9314415087147,369,1.7149907545944176
38,-3311.8825919183187,364,1.6892658932755014
39,-3448.7258205082785,369,1.6639269048763687
40,-3496.3896919505805,370,1.6389680013032233
41,-3582.986626182679,372,1.6143834812836748
42,-3654.747630830295,376,1.5901677290644196
43,-3537.124644798939,370,1.5663152131284532
44,-3624.4814064967863,373,1.5428204849315263
45,-3542.8110221687984,368,1.5196781776575534
46,-3778.273229327435,378,1.49688300499269
47,-3675.664557367795,370,1.4744297599177996
48,-3681.3242524863194,369,1.4523133135190325
49,-3508.8323554880544,356,1.430528613816247
50,-3543.120071089936,358,1.4090706846090033
51,-3652.7547627841886,368,1.3879346243398683
52,-3655.9149437452543,364,1.3671156049747701
53,-3748.2679702541764,373,1.3466088709001485
54,-3631.2637309757165,362,1.3264097378366462
55,-3806.5907626911894,373,1.3065135917690964
56,-3791.1184789262525,372,1.28691588789256
57,-3962.8359963544417,381,1.2676121495741715
58,-3957.2519520711403,379,1.248597967330559
59,-3959.626047041851,381,1.2298689978206006
60,-3854.7838442127763,374,1.2114209628532915
61,-3988.5983151994697,381,1.1932496484104922
62,-3935.913131315867,379,1.1753509036843348
63,-3909.0671691860466,377,1.1577206401290698
64,-3969.529944222898,380,1.1403548305271338
65,-3983.2459755839527,382,1.1232495080692269
66,-3985.947383401647,381,1.1064007654481884
