step,energy,activation_count,temperature
0,-2466.517234325207,419,3.0
1,-2465.971606556803,388,2.955
2,-2444.4395813928977,381,2.910675
3,-2574.4302200348843,387,2.8670148749999997
4,-2799.1111849761774,394,2.8240096518749995
5,-2944.3936483717525,399,2.7816495070968745
6,-2980.5667374834693,402,2.7399247644904214
7,-2619.7515260694427,382,2.698825893023065
8,-2658.5067741071816,378,2.658343504627719
9,-2583.284296278662,372,2.6184683520583034
10,-2750.475938335736,382,2.579191326777429
11,-2721.260193626332,370,2.5405034568757676
12,-2868.2310525899456,384,2.502395905022631
13,-2900.70145949352,387,2.4648599664472917
14,-2693.317576171977,378,2.427887066950582
15,-2835.9408835190115,380,2.3914687609463234
16,-2966.3173242557527,380,2.3555967295321287
17,-2831.5714441563,374,2.320262778589147
18,-2931.790660434318,381,2.2854588369103097
19,-2817.2012321063144,364,2.251176954356655
20,-2960.269951869372,375,2.217409300041305
21,-2965.929342227805,368,2.1841481605406856
22,-3096.410358995138,372,2.1513859381325755
23,-2964.16122560489,361,2.119115149060587
24,-3172.721982713389,376,2.087328421824678
25,-3174.6044551137984,377,2.056018495497308
26,-3027.1627054490036,361,2.0251782180648483
27,-3272.404054862218,379,1.9948005447938755
28,-3199.052647925576,371,1.9648785366219672
29,-3263.505574984743,376,1.9354053585726376
30,-3471.245952203109,381,1.906374278194048
31,-3530.3742358222944,385,1.8777786640211374
32,-3387.5565423765506,375,1.8496119840608203
33,-3354.477492913568,374,1.821867804299908
34,-3224.8867345302674,369,1.7945397872354092
35,-3458.050012931885,374,1.767621690426878
36,-3516.334829179497,375,1.7411073650704747
37,-3442.9578796410287,361,1.7149907545944176
38,-3628.4164858152967,378,1.6892658932755014
39,-3713.8719480704117,378,1.6639269048763687
40,-3822.68039882479,388,1.6389680013032233
41,-3759.5220078933653,382,1.6143834812836748
42,-3793.5370008433315,383,1.5901677290644196
43,-3615.4791189563657,369,1.5663152131284532
44,-3519.76670989276,363,1.5428204849315263
45,-3649.0486110159572,370,1.5196781776575534
46,-3681.0453694148814,373,1.49688300499269
47,-3553.86549852041,364,1.4744297599177996
48,-3635.2285567524095,367,1.4523133135190325
49,-3652.8718146496153,367,1.430528613816247
50,-3833.4665592708334,378,1.4090706846090033
51,-3712.0454373801085,369,1.3879346243398683
52,-3755.408644086134,372,1.3671156049747701
53,-3782.3859321485547,371,1.3466088709001485
54,-3806.584283116163,374,1.3264097378366462
55,-3804.233427949321,373,1.3065135917690964
56,-3892.8485398284097,377,1.28691588789256
57,-3894.266974600018,376,1.2676121495741715
58,-3806.3444669633063,371,1.248597967330559
59,-3913.027130692001,377,1.2298689978206006
60,-3817.554590658883,369,1.2114209628532915
61,-3825.652876196028,369,1.1932496484104922
62,-3895.474831253546,374,1.1753509036843348
63,-3865.2194746892037,371,1.1577206401290698
64,-3864.9358752529506,370,1.1403548305271338
65,-4006.3019908053875,378,1.1232495080692269
66,-3929.0063066592143,374,1.1064007654481884
67,-3816.41434355296,366,1.0898047539664657
68,-3929.9359286704616,374,1.0734576826569686
69,-3807.415487844878,363,1.057355817417114
70,-3885.9503314055237,370,1.0414954801558574
71,-3919.053291533869,372,1.0258730479535194
72,-3862.7638456012637,367,1.0104849522342165
73,-3860.1173390378826,367,0.9953276779507033
74,-3987.6881671261726,376,0.9803977627814427
75,-4049.355804662342,379,0.9656917963397211
76,-3956.66454465181,374,0.9512064193946252
77,-3892.3649414502124,370,0.9369383231037058
78,-3960.453278568503,375,0.9228842482571502
79,-3959.0309526577234,375,0.909040984533293
80,-4073.757693496463,381,0.8954053697652935
81,-4057.580892987934,380,0.881974289218814
82,-4001.326254076073,377,0.8687446748805319
83,-4102.616035909405,382,0.8557135047573239
84,-3981.9575636976556,375,0.842877802185964
85,-3936.155200204582,372,0.8302346351531745
86,-3810.3419355929727,364,0.8177811156258769
87,-3944.0049543244827,373,0.8055143988914887
88,-3944.973112194334,372,0.7934316829081164
89,-3905.4728621278673,369,0.7815302076644947
90,-3888.4028649121738,368,0.7698072545495273
91,-3901.4059052546463,369,0.7582601457312843
