step,energy,activation_count,temperature
0,-2426.3389334072926,419,3.0
1,-2465.8975061598103,390,2.955
2,-2579.2993065929727,391,2.910675
3,-2407.892366943724,379,2.8670148749999997
4,-2632.4242515626615,389,2.8240096518749995
5,-2402.1155523442317,374,2.7816495070968745
6,-2719.7172744177733,392,2.7399247644904214
7,-2542.1057217382363,379,2.698825893023065
8,-2564.2740927499776,375,2.658343504627719
9,-2813.947668472924,387,2.6184683520583034
10,-3039.7486712417376,391,2.579191326777429
11,-2809.2651888619116,379,2.5405034568757676
12,-2814.917312091202,375,2.502395905022631
13,-2871.188737224881,379,2.4648599664472917
14,-2918.786611723618,383,2.427887066950582
15,-2762.580166074277,371,2.3914687609463234
16,-2848.801939871415,374,2.3555967295321287
17,-3118.8751902363174,385,2.320262778589147
18,-3014.0670056201516,377,2.2854588369103097
19,-2914.3733784916562,373,2.251176954356655
20,-3012.023194380008,383,2.217409300041305
21,-2861.494135676606,374,2.1841481605406856
22,-2951.363574599792,373,2.1513859381325755
23,-2880.337286155362,366,2.119115149060587
24,-3007.7229642866137,376,2.087328421824678
25,-3130.1397582139766,378,2.056018495497308
26,-3173.7557050055166,383,2.0251782180648483
27,-3107.457157617808,379,1.9948005447938755
28,-3089.9044361441593,370,1.9648785366219672
29,-3252.3982660425504,378,1.9354053585726376
30,-3196.9422300262295,365,1.906374278194048
31,-3349.9284655680754,371,1.8777786640211374
32,-3330.162931209665,373,1.8496119840608203
33,-3255.9539510850173,367,1.821867804299908
34,-3408.091709142293,376,1.7945397872354092
35,-3365.6401186233256,368,1.767621690426878
36,-3495.4279266508443,377,1.7411073650704747
37,-3446.2451564405997,372,1.7149907545944176
38,-3425.6983747654267,370,1.6892658932755014
39,-3560.6049870708625,375,1.6639269048763687
40,-3747.1582617182103,385,1.6389680013032233
41,-3647.2174753545482,379,1.6143834812836748
42,-3521.510531543763,370,1.5901677290644196
43,-3557.662653223068,368,1.5663152131284532
44,-3714.3630547733896,379,1.5428204849315263
45,-3695.7075474895555,374,1.5196781776575534
46,-3738.8936917632714,378,1.49688300499269
47,-3851.622824968888,382,1.4744297599177996
48,-3800.7762964956223,378,1.4523133135190325
49,-3788.0621161675467,375,1.430528613816247
50,-3999.272750743436,387,1.4090706846090033
51,-3938.7352280146874,383,1.3879346243398683
52,-3994.507649442306,386,1.3671156049747701
53,-3925.6604320108477,381,1.3466088709001485
54,-3880.513731981525,379,1.3264097378366462
55,-3757.5627729977714,370,1.3065135917690964
56,-3914.126886093302,378,1.28691588789256
57,-3906.877165954747,378,1.2676121495741715
58,-3786.663722572828,374,1.248597967330559
59,-3900.0574699885597,379,1.2298689978206006
60,-3805.791287842715,370,1.2114209628532915
61,-3869.419981623001,373,1.1932496484104922
62,-3840.6043292209392,371,1.1753509036843348
63,-3706.2187776091414,360,1.1577206401290698
64,-3827.8220629620514,369,1.1403548305271338
65,-3875.6008901233677,373,1.1232495080692269
66,-3840.0409958164373,370,1.1064007654481884
67,-3862.446118329021,372,1.0898047539664657
68,-3807.812627917476,368,1.0734576826569686
69,-3829.6542411266823,368,1.057355817417114
70,-3816.12943756725,368,1.0414954801558574
71,-3942.6949548829484,376,1.0258730479535194
72,-3976.963882085113,379,1.0104849522342165
73,-3941.2527836107975,376,0.9953276779507033
74,-4013.77850417003,380,0.9803977627814427
75,-3984.4935819084644,378,0.9656917963397211
76,-3887.9532384469576,372,0.9512064193946252
77,-3936.136092923182,375,0.9369383231037058
78,-3966.7244677126405,377,0.9228842482571502
79,-3967.7697768916546,377,0.909040984533293
80,-4031.2399550250825,380,0.8954053697652935
81,-4071.7047623743865,382,0.881974289218814
82,-4028.544692869362,380,0.8687446748805319
83,-3902.0345891734723,372,0.8557135047573239
84,-3971.6557789111116,377,0.842877802185964
85,-4008.1248175009896,379,0.8302346351531745
86,-3784.397887534089,365,0.8177811156258769
87,-3909.34711008735,373,0.8055143988914887
88,-3852.4030447990363,369,0.7934316829081164
89,-3851.676286393562,369,0.7815302076644947
90,-3866.1552227894235,370,0.7698072545495273
91,-3945.660928810142,375,0.7582601457312843
92,-3931.367933349584,374,0.7468862435453151
93,-3866.7910809236046,370,0.7356829498921353
94,-3972.569135568528,377,0.7246477056437532
95,-3945.1199300783396,375,0.7137779900590969
96,-3904.645502184203,372,0.7030713202082105
97,-3967.323652422293,376,0.6925252504050874
98,-3966.8811078369495,376,0.6821373716490111
99,-3869.235825698687,370,0.671905311074276
100,-3927.5606130623,374,0.6618267314081618
101,-3969.8728204788217,377,0.6518993304370394
102,-3887.700019447299,371,0.6421208404804838
