step,energy,activation_count,temperature
0,-2405.1342165383294,419,3.0
1,-2426.5325147640233,392,2.955
2,-2425.467500961026,383,2.910675
3,-2581.7730893395733,389,2.8670148749999997
4,-2544.3116264221508,385,2.8240096518749995
5,-2559.6973398804057,386,2.7816495070968745
6,-2484.9607336369104,382,2.7399247644904214
7,-2502.153131503326,383,2.698825893023065
8,-2924.639404700408,399,2.658343504627719
9,-2605.9028498584485,382,2.6184683520583034
10,-2769.22861042615,388,2.579191326777429
11,-2782.55027943549,381,2.5405034568757676
12,-2792.492758334868,381,2.502395905022631
13,-2731.4323515059677,379,2.4648599664472917
14,-2771.180959224345,381,2.427887066950582
15,-2656.031256630147,372,2.3914687609463234
16,-2675.3286274024663,364,2.3555967295321287
17,-2774.778090724394,377,2.320262778589147
18,-2763.382219289459,372,2.2854588369103097
19,-2829.9162486225605,375,2.251176954356655
20,-2997.297993878576,381,2.217409300041305
21,-2896.492239536471,367,2.1841481605406856
22,-2938.7704021344216,372,2.1513859381325755
23,-2972.2194588797015,368,2.119115149060587
24,-3142.4360302709633,377,2.087328421824678
25,-3076.2168002025455,370,2.056018495497308
26,-3181.8913037924,379,2.0251782180648483
27,-3337.619989527742,387,1.9948005447938755
28,-3151.7391144882413,372,1.9648785366219672
29,-3154.7697386965206,374,1.9354053585726376
30,-3214.9504160820616,372,1.906374278194048
31,-3119.723754407711,362,1.8777786640211374
32,-3163.9935897200567,367,1.8496119840608203
33,-3123.061531858959,366,1.821867804299908
34,-3163.895725523853,368,1.7945397872354092
35,-3134.3051472986594,361,1.767621690426878
36,-3404.4919014258653,379,1.7411073650704747
37,-3481.2271601864613,378,1.7149907545944176
38,-3510.0428906694174,379,1.6892658932755014
39,-3403.01486866071,369,1.6639269048763687
40,-3527.9466536324403,375,1.6389680013032233
41,-3501.8715364524214,369,1.6143834812836748
42,-3391.9345588999263,362,1.5901677290644196
43,-3493.9365231984916,362,1.5663152131284532
44,-3558.447394549886,368,1.5428204849315263
45,-3617.4129746999765,370,1.5196781776575534
46,-3587.2958229148157,373,1.49688300499269
47,-3641.4381456571696,376,1.4744297599177996
48,-3451.29840400063,359,1.4523133135190325
49,-3460.457572079018,358,1.430528613816247
50,-3490.855137502982,362,1.4090706846090033
51,-3573.79979135047,366,1.3879346243398683
52,-3555.56997161201,364,1.3671156049747701
53,-3614.961823401558,366,1.3466088709001485
54,-3581.9550081290895,363,1.3264097378366462
55,-3699.350759934018,370,1.3065135917690964
56,-3699.2955776627678,372,1.28691588789256
57,-3663.213649775386,368,1.2676121495741715
58,-3650.7506784469697,367,1.248597967330559
59,-3770.4899414641754,374,1.2298689978206006
60,-3758.6471721301227,373,1.2114209628532915
61,-3794.618792610752,374,1.1932496484104922
62,-3875.198454835294,378,1.1753509036843348
63,-3798.373042317235,373,1.1577206401290698
64,-3854.3764476845163,375,1.1403548305271338
65,-3740.879117577124,367,1.1232495080692269
66,-3698.068435423972,363,1.1064007654481884
67,-3688.060488053071,363,1.0898047539664657
68,-3725.0352097170066,364,1.0734576826569686
69,-3807.620282930012,369,1.057355817417114
