step,energy,activation_count,temperature
0,-2364.6982712118893,419,3.0
1,-2408.1573944359393,393,2.955
2,-2597.896298352096,395,2.910675
3,-2363.7762039687254,385,2.8670148749999997
4,-2641.9254014611283,393,2.8240096518749995
5,-2568.1987232338984,389,2.7816495070968745
6,-2549.9651902381647,388,2.7399247644904214
7,-2375.278604784688,378,2.698825893023065
8,-2307.098753687171,374,2.658343504627719
9,-2654.218837569113,386,2.6184683520583034
10,-2590.4083529028744,382,2.579191326777429
11,-2556.5253115616506,379,2.5405034568757676
12,-2525.806708953608,372,2.502395905022631
13,-2625.7715981884153,378,2.4648599664472917
14,-2628.081566232391,377,2.427887066950582
15,-2753.3011879931228,386,2.3914687609463234
16,-2636.17685947277,373,2.3555967295321287
17,-2661.9883047058343,374,2.320262778589147
18,-3032.5781472548565,394,2.2854588369103097
19,-3181.2050258969875,395,2.251176954356655
20,-2971.3436222007963,384,2.217409300041305
21,-3070.369877039744,385,2.1841481605406856
22,-3019.4112890792126,379,2.1513859381325755
23,-3139.1727480361187,384,2.119115149060587
24,-3136.119248226048,380,2.087328421824678
25,-3186.2465234314905,382,2.056018495497308
26,-3160.9794280273495,381,2.0251782180648483
27,-3377.0616911746056,389,1.9948005447938755
28,-3348.9023648431285,387,1.9648785366219672
29,-3512.6550054604827,390,1.9354053585726376
30,-3451.8579541025647,383,1.906374278194048
31,-3355.848284094977,375,1.8777786640211374
32,-3454.876222604507,384,1.8496119840608203
33,-3502.2820544620267,383,1.821867804299908
34,-3542.205241518215,385,1.7945397872354092
35,-3375.310065555527,375,1.767621690426878
36,-3329.597804929752,373,1.7411073650704747
37,-3510.4936424363,380,1.7149907545944176
38,-3423.3773393138335,377,1.6892658932755014
39,-3605.6584057583395,387,1.6639269048763687
40,-3445.6567134439015,380,1.6389680013032233
41,-3478.9226658335956,376,1.6143834812836748
42,-3527.4871458546722,378,1.5901677290644196
43,-3502.27480677565,373,1.5663152131284532
44,-3462.9486578658075,369,1.5428204849315263
45,-3562.453543330353,374,1.5196781776575534
46,-3617.3343442844052,379,1.49688300499269
47,-3529.6238657163053,375,1.4744297599177996
48,-3526.0656216881525,372,1.4523133135190325
49,-3518.5730729935763,371,1.430528613816247
50,-3595.6173990902557,375,1.4090706846090033
51,-3662.4226271207062,378,1.3879346243398683
52,-3570.4415845020153,374,1.3671156049747701
53,-3730.8965507376192,380,1.3466088709001485
54,-3794.6058809258093,383,1.3264097378366462
55,-3704.873150441992,375,1.3065135917690964
56,-3720.931511102093,374,1.28691588789256
57,-3810.547974544391,382,1.2676121495741715
58,-3768.023091540098,377,1.248597967330559
59,-3679.660674641635,372,1.2298689978206006
60,-3612.314754659932,365,1.2114209628532915
61,-3823.1625547150957,380,1.1932496484104922
62,-3845.12783332085,381,1.1753509036843348
63,-3819.366158678806,378,1.1577206401290698
64,-3857.0848176430013,379,1.1403548305271338
65,-3802.0111596329407,377,1.1232495080692269
66,-3740.442751526784,374,1.1064007654481884
67,-3763.0221915512147,376,1.0898047539664657
68,-3745.0221041941563,375,1.0734576826569686
69,-3751.1410254339835,372,1.057355817417114
70,-3690.559258934129,369,1.0414954801558574
71,-3747.727811094867,372,1.0258730479535194
72,-3763.999111015833,373,1.0104849522342165
73,-3675.249693716522,367,0.9953276779507033
74,-3659.597882508036,365,0.9803977627814427
75,-3765.599818272125,372,0.9656917963397211
76,-3723.9162035962395,368,0.9512064193946252
77,-3722.21320102296,369,0.9369383231037058
78,-3649.7159929921963,364,0.9228842482571502
79,-3777.496113499586,373,0.909040984533293
80,-3816.7506072200613,376,0.8954053697652935
81,-3806.4254060237436,375,0.881974289218814
82,-3962.662034757174,383,0.8687446748805319
83,-3766.5233528233175,371,0.8557135047573239
84,-3855.2916464337577,376,0.842877802185964
85,-3751.4547874026316,370,0.8302346351531745
86,-3742.417103235933,370,0.8177811156258769
87,-3786.8243389859767,373,0.8055143988914887
88,-3806.895246505644,374,0.7934316829081164
89,-3887.696698762857,379,0.7815302076644947
90,-3893.7098347797446,379,0.7698072545495273
91,-3792.477409075568,373,0.7582601457312843
92,-3830.068315350875,375,0.7468862435453151
93,-3816.90705810907,373,0.7356829498921353
94,-3811.9195430810946,372,0.7246477056437532
95,-3824.4961917436385,373,0.7137779900590969
96,-3872.9073044435345,376,0.7030713202082105
97,-3810.844037637409,372,0.6925252504050874
98,-3797.2788192205007,371,0.6821373716490111
99,-3919.2470095415724,379,0.671905311074276
100,-3925.2705556949527,379,0.6618267314081618
101,-3874.555737059072,376,0.6518993304370394
102,-3895.054229806243,377,0.6421208404804838
103,-3844.4876303920014,374,0.6324890278732765
104,-3883.492236514166,376,0.6230016924551773
105,-3917.08208138181,378,0.6136566670683496
106,-3819.32878318408,372,0.6044518170623244
107,-3837.3414737169037,373,0.5953850398063896
108,-3839.493558542871,373,0.5864542642092937
109,-3899.4375755278484,377,0.5776574502461543
110,-3855.6674074346697,374,0.568992588492462
111,-3807.0843956623576,370,0.5604576996650751
112,-3796.383600198814,369,0.5520508341700989
113,-3838.254929629261,372,0.5437700716575474
114,-3828.6611789854533,371,0.5356135205826842
115,-3823.598064232589,370,0.527579317773944
116,-3824.253341676485,370,0.5196656280073348
117,-3810.1115131119836,369,0.5118706435872248
118,-3780.224261912803,367,0.5041925839334164
119,-3819.6677386980996,370,0.49662969517441513
120,-3820.1225896585693,370,0.4891802497467989
121,-3851.182255529784,372,0.4818425460005969
122,-3825.5980642325885,370,0.47461490781058796
123,-3851.558643816899,372,0.46749568419342913
124,-3797.301176310771,368,0.46048324893052767
125,-3807.253714277491,369,0.45357600019656974
126,-3783.5374854978036,367,0.4467723601936212
127,-3796.39098324892,368,0.4400707747907169
128,-3810.534615153091,369,0.43346971316885613
129,-3810.287621322711,369,0.4269676674713233
130,-3824.4328358128705,370,0.42056315245925346
131,-3809.930246132852,369,0.4142547051723647
132,-3837.614949648027,371,0.4080408845947792
133,-3897.0194177045933,375,0.4019202713258575
134,-3897.6190278842328,375,0.39589146725596963
135,-3882.2115099843927,374,0.38995309524713007
136,-3851.096150694398,372,0.3841037988184231
137,-3823.540342513465,370,0.37834224183614673
138,-3810.2432360666558,369,0.37266710820860455
139,-3835.6032311668864,371,0.36707710158547546
140,-3867.4618170410918,373,0.36157094506169335
141,-3851.712835790977,372,0.3561473808857679
142,-3836.6367601348775,371,0.3508051701724814
143,-3882.1919245284976,374,0.3455430926198942
144,-3868.3144292588754,373,0.3403599462305958
145,-3914.1473963671933,376,0.33525454703713686
146,-3914.1473963671933,376,0.3302257288315798
147,-3914.1473963671933,376,0.3252723428991061
148,-3867.6769261616582,373,0.3203932577556195
149,-3914.1473963671933,376,0.3155873588892852
150,-3896.306063843164,375,0.3108535485059459
151,-3898.2616446084007,375,0.30619074527835666
152,-3866.433278158446,373,0.3015978840991813
153,-3881.747001614231,374,0.2970739158376936
154,-3897.9932053708494,375,0.2926178071001282
155,-3851.266360516681,372,0.28822853999362624
156,-3879.463313194195,374,0.28390511189372186
157,-3930.5919868578812,377,0.279646535215316
158,-3947.6006925941288,378,0.27545183718708627
159,-3851.428321486902,372,0.27132005962927996
160,-3838.8836254313474,371,0.26725025873484076
161,-3824.23179209301,370,0.26324150485381814
162,-3836.994208422304,371,0.2592928822810109
163,-3838.366949909927,371,0.2554034890467957
164,-3853.5409579623874,372,0.2515724367110938
165,-3824.0957327724113,370,0.2477988501604274
166,-3838.3920867832976,371,0.24408186740802099
167,-3838.6060255870634,371,0.24042063939690067
168,-3838.8836254313474,371,0.23681432980594716
169,-3824.3096715761767,370,0.23326211485885795
170,-3824.3096715761767,370,0.22976318313597507
171,-3838.8836254313474,371,0.22631673538893546
172,-3838.8836254313474,371,0.22292198435810143
173,-3824.3096715761767,370,0.2195781545927299
174,-3824.23179209301,370,0.21628448227383895
175,-3824.379028370241,370,0.21304021503973136
176,-3824.3096715761767,370,0.20984461181413538
177,-3838.8836254313474,371,0.20669694263692334
178,-3810.089963528508,369,0.2035964884973695
179,-3838.8836254313474,371,0.20054254116990897
180,-3838.8836254313474,371,0.19753440305236034
181,-3838.8836254313474,371,0.19457138700657492
182,-3838.8836254313474,371,0.19165281620147628
183,-3838.8836254313474,371,0.18877802395845414
184,-3838.8836254313474,371,0.18594635359907732
185,-3838.675382381127,371,0.18315715829509116
186,-3824.379028370241,370,0.1804098009206648
187,-3838.3533720457713,371,0.17770365390685483
188,-3838.8836254313474,371,0.175038099098252
189,-3824.379028370241,370,0.17241252761177822
190,-3853.5409579623874,372,0.16982633969760155
191,-3838.8836254313474,371,0.16727894460213752
192,-3838.8836254313474,371,0.16476976043310546
193,-3838.8836254313474,371,0.16229821402660888
194,-3838.8836254313474,371,0.15986374081620974
195,-3838.8836254313474,371,0.1574657847039666
196,-3838.8836254313474,371,0.15510379793340712
197,-3838.8836254313474,371,0.152777240964406
198,-3838.8836254313474,371,0.15048558234993992
199,-3838.8836254313474,371,0.1482282986146908
200,-3838.8836254313474,371,0.14600487413547045
