step,energy,activation_count,temperature
0,-2454.4150457574747,419,3.0
1,-2445.0823610530974,387,2.955
2,-2482.221016447662,383,2.910675
3,-2491.60726477661,382,2.8670148749999997
4,-2676.832943545756,387,2.8240096518749995
5,-2612.3276354346285,381,2.7816495070968745
6,-2559.2293556941113,381,2.7399247644904214
7,-2704.782495182987,388,2.698825893023065
8,-2652.755196162336,381,2.658343504627719
9,-2953.430867643259,389,2.6184683520583034
10,-2741.1882164197546,383,2.579191326777429
11,-2642.8153539985933,374,2.5405034568757676
12,-2771.5818460411747,377,2.502395905022631
13,-2940.799968243,384,2.4648599664472917
14,-2991.939938410342,382,2.427887066950582
15,-2931.6802799422,383,2.3914687609463234
16,-2753.0780310676646,363,2.3555967295321287
17,-2759.0124357533186,370,2.320262778589147
18,-3025.6641575307076,380,2.2854588369103097
19,-2872.3458340488282,367,2.251176954356655
20,-2996.9541677645275,374,2.217409300041305
21,-3133.9888431319496,376,2.1841481605406856
22,-3114.118673747296,372,2.1513859381325755
23,-3029.4421985441118,367,2.119115149060587
24,-3149.534040417014,373,2.087328421824678
25,-3352.5957026146407,381,2.056018495497308
26,-3251.3997802726562,369,2.0251782180648483
27,-3242.476133321709,370,1.9948005447938755
28,-3382.833083315685,375,1.9648785366219672
29,-3268.0063079254264,369,1.9354053585726376
30,-3322.4441306753583,368,1.906374278194048
31,-3270.11714060621,366,1.8777786640211374
32,-3350.4994608418287,369,1.8496119840608203
33,-3413.2668550296053,373,1.821867804299908
34,-3586.623430868633,379,1.7945397872354092
35,-3504.2725620984743,372,1.767621690426878
36,-3546.6497782889687,375,1.7411073650704747
37,-3589.2390627181558,373,1.7149907545944176
38,-3618.915444654011,374,1.6892658932755014
39,-3650.77998657782,375,1.6639269048763687
40,-3548.68436508651,370,1.6389680013032233
41,-3659.4209965957184,374,1.6143834812836748
42,-3608.10504796653,370,1.5901677290644196
43,-3480.218833307346,359,1.5663152131284532
44,-3581.005216283359,368,1.5428204849315263
45,-3698.4687101194563,370,1.5196781776575534
46,-3866.4873375753023,381,1.49688300499269
47,-3750.7429639105058,375,1.4744297599177996
48,-3716.2649232216845,373,1.4523133135190325
49,-3584.629305521482,360,1.430528613816247
50,-3682.6117234709864,365,1.4090706846090033
51,-3775.995987973227,371,1.3879346243398683
52,-3978.823738499075,384,1.3671156049747701
53,-3769.0015799243392,372,1.3466088709001485
54,-3875.350785289246,378,1.3264097378366462
55,-3832.6774370495586,374,1.3065135917690964
56,-3839.945869336641,370,1.28691588789256
57,-3897.958770304123,375,1.2676121495741715
58,-3808.1621756585973,370,1.248597967330559
59,-3892.9077128710214,374,1.2298689978206006
60,-4034.7524322322743,381,1.2114209628532915
61,-3981.1691289114983,378,1.1932496484104922
62,-3947.4824617929016,376,1.1753509036843348
63,-3821.690736895695,369,1.1577206401290698
64,-4011.3975780403703,379,1.1403548305271338
65,-4101.530151959291,384,1.1232495080692269
66,-3880.868785516694,372,1.1064007654481884
67,-3991.1990999071554,379,1.0898047539664657
68,-3894.4725271591715,374,1.0734576826569686
69,-3897.7976538337666,373,1.057355817417114
70,-3966.4284382333385,378,1.0414954801558574
71,-4090.6374805042506,384,1.0258730479535194
72,-4001.2852142747765,379,1.0104849522342165
73,-4093.2885974516225,383,0.9953276779507033
74,-4047.23418119045,381,0.9803977627814427
75,-3999.809035366217,378,0.9656917963397211
76,-3984.287118793205,377,0.9512064193946252
77,-4030.0250446190717,380,0.9369383231037058
78,-3973.1933387879963,377,0.9228842482571502
79,-4014.6039179615104,379,0.909040984533293
80,-3901.346360882605,371,0.8954053697652935
81,-3940.984865422379,374,0.881974289218814
82,-3907.275072085678,372,0.8687446748805319
83,-4001.288301194964,377,0.8557135047573239
84,-3860.1229713203516,368,0.842877802185964
85,-4004.491478465723,377,0.8302346351531745
86,-4012.6409753987023,378,0.8177811156258769
87,-4121.8990682202875,384,0.8055143988914887
88,-4076.8105512379843,381,0.7934316829081164
89,-4134.009033662214,384,0.7815302076644947
90,-3991.007835708231,376,0.7698072545495273
91,-3957.845502860007,374,0.7582601457312843
92,-3980.5097576785724,375,0.7468862435453151
93,-4014.183572322999,377,0.7356829498921353
94,-4049.681800439797,379,0.7246477056437532
95,-3965.4486362487905,374,0.7137779900590969
96,-3920.708869568688,371,0.7030713202082105
97,-3931.9446195499236,372,0.6925252504050874
98,-3930.509842262529,372,0.6821373716490111
