step,energy,activation_count,temperature
0,-2366.3964846601098,419,3.0
1,-2484.914548839757,395,2.955
2,-2598.4978227788492,394,2.910675
3,-2456.3817353110107,386,2.8670148749999997
4,-2628.658003468589,391,2.8240096518749995
5,-2500.668491316762,390,2.7816495070968745
6,-2552.0482898580044,389,2.7399247644904214
7,-2593.352799310555,390,2.698825893023065
8,-2526.8816396991037,380,2.658343504627719
9,-2894.8482759483704,392,2.6184683520583034
10,-2813.0505057500363,387,2.579191326777429
11,-2933.9401740824346,393,2.5405034568757676
12,-2846.382769239285,387,2.502395905022631
13,-2621.376223485761,377,2.4648599664472917
14,-2625.0239578591795,375,2.427887066950582
15,-2663.422147555416,381,2.3914687609463234
16,-2614.9954826936923,370,2.3555967295321287
17,-2572.7042516843867,374,2.320262778589147
18,-2903.259204217972,387,2.2854588369103097
19,-2937.9105612565418,386,2.251176954356655
20,-2994.223209823768,386,2.217409300041305
21,-3038.599261574109,385,2.1841481605406856
22,-2907.706015265155,377,2.1513859381325755
23,-2905.1890420606114,373,2.119115149060587
24,-2889.1400815459992,374,2.087328421824678
25,-2910.5298582179703,368,2.056018495497308
26,-3204.3364707752035,383,2.0251782180648483
27,-3097.532538630577,376,1.9948005447938755
28,-3167.319125481716,378,1.9648785366219672
29,-3245.8220379414374,381,1.9354053585726376
30,-3150.4971193508522,370,1.906374278194048
31,-3378.268922159824,381,1.8777786640211374
32,-3271.931295100273,373,1.8496119840608203
33,-3363.9603723671953,382,1.821867804299908
34,-3291.244886158377,377,1.7945397872354092
35,-3405.3853019955304,379,1.767621690426878
36,-3526.7134070668185,382,1.7411073650704747
37,-3310.027964744854,370,1.7149907545944176
38,-3409.151338970984,372,1.6892658932755014
39,-3488.7277291970804,378,1.6639269048763687
40,-3474.222579412721,378,1.6389680013032233
41,-3581.363601585138,384,1.6143834812836748
42,-3592.318800720646,382,1.5901677290644196
43,-3587.3939450688968,378,1.5663152131284532
44,-3515.054547039381,375,1.5428204849315263
45,-3659.294659451803,379,1.5196781776575534
46,-3776.714973465004,387,1.49688300499269
47,-3684.6688245241003,382,1.4744297599177996
48,-3438.390889686221,367,1.4523133135190325
49,-3504.012619957459,367,1.430528613816247
50,-3628.058179805894,377,1.4090706846090033
51,-3554.0039129069296,371,1.3879346243398683
52,-3706.4037507193307,381,1.3671156049747701
53,-3699.8769867687374,376,1.3466088709001485
54,-3689.3290718423386,375,1.3264097378366462
55,-3717.9489668685005,376,1.3065135917690964
56,-3668.541393745844,372,1.28691588789256
57,-3764.1132467599223,377,1.2676121495741715
58,-3707.2481996313422,372,1.248597967330559
59,-3742.9216367354857,375,1.2298689978206006
60,-3889.719514803087,381,1.2114209628532915
61,-3846.8388010771946,379,1.1932496484104922
62,-3737.2451551738727,372,1.1753509036843348
63,-3717.7262627601885,371,1.1577206401290698
64,-3826.199859062632,377,1.1403548305271338
65,-3826.9269312621427,377,1.1232495080692269
66,-3955.190875094687,384,1.1064007654481884
67,-3944.04605087903,383,1.0898047539664657
68,-3881.955425405219,380,1.0734576826569686
69,-3855.590453916827,377,1.057355817417114
70,-3834.343359858183,377,1.0414954801558574
71,-3830.214036557825,376,1.0258730479535194
72,-3743.8309010509624,370,1.0104849522342165
73,-3803.0564591918283,374,0.9953276779507033
74,-3937.5178074479927,382,0.9803977627814427
75,-3848.551286512029,377,0.9656917963397211
76,-3793.7164590856833,372,0.9512064193946252
77,-3792.5727830711626,372,0.9369383231037058
78,-3678.353169995418,364,0.9228842482571502
79,-3679.0272170620838,365,0.909040984533293
80,-3825.53756625739,375,0.8954053697652935
81,-3730.8116208364504,368,0.881974289218814
82,-3916.7376891512617,380,0.8687446748805319
83,-3873.1745806910694,377,0.8557135047573239
84,-3784.7031266363997,371,0.842877802185964
85,-3741.922315341398,368,0.8302346351531745
86,-3775.8214466771974,371,0.8177811156258769
87,-3780.100369277152,371,0.8055143988914887
88,-3755.7554822956467,368,0.7934316829081164
89,-3799.581125872283,371,0.7815302076644947
90,-3814.258880040884,371,0.7698072545495273
91,-3889.723863247837,376,0.7582601457312843
92,-4026.806425355695,384,0.7468862435453151
93,-3879.2576742256592,376,0.7356829498921353
94,-3847.1893949860505,374,0.7246477056437532
95,-3858.244088655011,375,0.7137779900590969
96,-3933.6844596471815,379,0.7030713202082105
97,-3882.3726626332223,376,0.6925252504050874
98,-3841.3481452009732,373,0.6821373716490111
99,-3915.4297413999493,378,0.671905311074276
100,-3952.8460719613417,380,0.6618267314081618
101,-3976.205121447215,381,0.6518993304370394
102,-3917.7804709477887,378,0.6421208404804838
103,-3905.9696070761606,377,0.6324890278732765
104,-3959.0897870404942,380,0.6230016924551773
105,-3977.739041558883,381,0.6136566670683496
106,-4072.7436456525465,386,0.6044518170623244
107,-4033.716402887125,384,0.5953850398063896
108,-4034.811112143336,384,0.5864542642092937
109,-4073.9874463903943,386,0.5776574502461543
110,-3999.1896584696397,382,0.568992588492462
111,-3930.2030646391067,378,0.5604576996650751
112,-3912.80589864029,377,0.5520508341700989
113,-3927.5453688551897,378,0.5437700716575474
114,-3921.481252045488,378,0.5356135205826842
115,-3799.5356141892653,370,0.527579317773944
116,-3910.018454502863,377,0.5196656280073348
117,-3914.350903241419,377,0.5118706435872248
118,-3963.3034952811154,380,0.5041925839334164
119,-4000.0980670222316,382,0.49662969517441513
120,-4058.8333778456526,385,0.4891802497467989
121,-4018.909412200682,383,0.4818425460005969
122,-3967.7413221813126,380,0.47461490781058796
123,-3966.4003844430536,380,0.46749568419342913
124,-3897.4366968424624,376,0.46048324893052767
125,-3983.5420992883387,381,0.45357600019656974
126,-3985.11340616365,381,0.4467723601936212
127,-3932.5604605759095,378,0.4400707747907169
128,-3990.7932265465965,381,0.43346971316885613
129,-3954.1647749581243,379,0.4269676674713233
130,-3854.5193208105416,373,0.42056315245925346
131,-3919.8007129468497,377,0.4142547051723647
132,-3870.5627913385606,374,0.4080408845947792
133,-3972.88128639805,380,0.4019202713258575
134,-3972.652765796226,380,0.39589146725596963
135,-3918.054744017572,377,0.38995309524713007
136,-3885.353286512404,375,0.3841037988184231
137,-3954.4514522800982,379,0.37834224183614673
138,-3936.5450235978115,378,0.37266710820860455
139,-3954.492666940047,379,0.36707710158547546
140,-3918.891796166208,377,0.36157094506169335
141,-3868.073858318984,374,0.3561473808857679
142,-3916.861442443161,377,0.3508051701724814
143,-3952.957840362275,379,0.3455430926198942
144,-3954.6736095556644,379,0.3403599462305958
145,-3902.53935694243,376,0.33525454703713686
146,-3989.5758885240766,381,0.3302257288315798
147,-4008.541782041395,382,0.3252723428991061
148,-4008.1940691588393,382,0.3203932577556195
149,-3952.7141978560853,379,0.3155873588892852
150,-3970.117403604979,380,0.3108535485059459
151,-3954.4744289814575,379,0.30619074527835666
152,-3870.9294254993592,374,0.3015978840991813
153,-3954.4524971135743,379,0.2970739158376936
154,-3937.403106007126,378,0.2926178071001282
155,-3871.441055641354,374,0.28822853999362624
156,-3904.3064082686,376,0.28390511189372186
157,-3921.225202372634,377,0.279646535215316
158,-3921.0137412104227,377,0.27545183718708627
159,-3904.086827071905,376,0.27132005962927996
160,-3990.831413169333,381,0.26725025873484076
161,-4009.0893744760433,382,0.26324150485381814
162,-3920.4515412832766,377,0.2592928822810109
163,-3920.6495167578814,377,0.2554034890467957
164,-3954.975616485037,379,0.2515724367110938
