step,energy,activation_count,temperature
0,-2460.2199000723945,419,3.0
1,-2430.4649393635023,388,2.955
2,-2501.16802624431,385,2.910675
3,-2722.45826987862,396,2.8670148749999997
4,-2398.448241066958,372,2.8240096518749995
5,-2707.6327923911244,388,2.7816495070968745
6,-2623.317699627707,389,2.7399247644904214
7,-2568.6309954113362,383,2.698825893023065
8,-2487.303838593002,368,2.658343504627719
9,-2614.547728919597,378,2.6184683520583034
10,-2501.5071532080615,368,2.579191326777429
11,-2861.2631732124337,386,2.5405034568757676
12,-2708.7291157476925,374,2.502395905022631
13,-2582.3675458432704,368,2.4648599664472917
14,-2792.478390084624,383,2.427887066950582
15,-2797.5181994905693,384,2.3914687609463234
16,-2749.7870487431032,373,2.3555967295321287
17,-2766.09365939178,374,2.320262778589147
18,-2897.2632663983327,376,2.2854588369103097
19,-2928.5465522743566,379,2.251176954356655
20,-2818.0208588318155,369,2.217409300041305
21,-2769.6570050022365,363,2.1841481605406856
22,-2920.5193117170734,374,2.1513859381325755
23,-2835.5216114442364,368,2.119115149060587
24,-2803.0947294601797,367,2.087328421824678
25,-2958.208173517222,375,2.056018495497308
26,-3281.076386314896,388,2.0251782180648483
27,-2997.4572278837904,371,1.9948005447938755
28,-2986.8555799597666,374,1.9648785366219672
29,-3139.023107328825,375,1.9354053585726376
30,-2972.0591403330045,353,1.906374278194048
31,-3100.989409441893,367,1.8777786640211374
32,-3194.4437993944025,375,1.8496119840608203
33,-3089.152477840476,358,1.821867804299908
34,-3239.9672581814907,374,1.7945397872354092
35,-3188.5110709301266,359,1.767621690426878
36,-3462.351899438711,374,1.7411073650704747
37,-3450.543990630747,370,1.7149907545944176
38,-3369.5953247447646,363,1.6892658932755014
39,-3453.7966251400894,370,1.6639269048763687
40,-3439.6752224513443,371,1.6389680013032233
41,-3596.258495751715,375,1.6143834812836748
42,-3600.8898873078256,375,1.5901677290644196
43,-3563.6489499029008,367,1.5663152131284532
44,-3590.3531036659388,365,1.5428204849315263
45,-3641.6028461004084,366,1.5196781776575534
46,-3760.852574432979,374,1.49688300499269
47,-3755.993820055883,375,1.4744297599177996
48,-3821.830841674923,376,1.4523133135190325
49,-3669.445385841051,365,1.430528613816247
50,-3608.7786891714845,362,1.4090706846090033
51,-3775.676402069216,372,1.3879346243398683
52,-3873.066440813869,379,1.3671156049747701
53,-3817.5993889179526,374,1.3466088709001485
54,-3884.3727311903826,378,1.3264097378366462
55,-3830.591122840717,373,1.3065135917690964
56,-3827.9725780639683,370,1.28691588789256
57,-3807.456736062121,368,1.2676121495741715
58,-3777.266563223266,367,1.248597967330559
59,-3793.95034676724,367,1.2298689978206006
60,-3973.5395790323796,377,1.2114209628532915
61,-3872.9059508442365,371,1.1932496484104922
62,-3886.742673264772,372,1.1753509036843348
63,-3747.2062580458423,361,1.1577206401290698
64,-3863.0870615843173,369,1.1403548305271338
65,-3964.613196641568,376,1.1232495080692269
66,-3879.20202112352,371,1.1064007654481884
67,-3826.630071841306,366,1.0898047539664657
68,-3857.9553687509333,369,1.0734576826569686
69,-3872.856247641751,368,1.057355817417114
70,-3861.6428958450674,368,1.0414954801558574
71,-3919.583672820549,371,1.0258730479535194
72,-3851.589599480604,366,1.0104849522342165
73,-3811.016253648694,364,0.9953276779507033
74,-3831.2845973443273,365,0.9803977627814427
75,-3932.805370971991,371,0.9656917963397211
76,-3859.4641631353256,366,0.9512064193946252
77,-3935.251568862206,372,0.9369383231037058
78,-3933.5536930948538,372,0.9228842482571502
79,-3844.5325104951057,366,0.909040984533293
80,-3847.275761338042,366,0.8954053697652935
81,-3881.373333928951,368,0.881974289218814
82,-3963.9975473655827,374,0.8687446748805319
83,-4018.968203221331,377,0.8557135047573239
84,-4011.7445059316383,377,0.842877802185964
85,-4121.8771083138845,383,0.8302346351531745
86,-4007.488667502653,377,0.8177811156258769
87,-3968.2848734735558,374,0.8055143988914887
88,-3983.5826911884446,375,0.7934316829081164
89,-4020.3839478740697,377,0.7815302076644947
90,-4048.5006068642556,379,0.7698072545495273
91,-4034.850121925207,378,0.7582601457312843
92,-4067.7739343980625,380,0.7468862435453151
93,-3929.1798006952063,372,0.7356829498921353
94,-3831.8019511341854,365,0.7246477056437532
95,-3923.07939961273,371,0.7137779900590969
96,-3863.691556123366,366,0.7030713202082105
97,-3820.289158108608,362,0.6925252504050874
98,-3884.0595368564177,367,0.6821373716490111
99,-3922.3376809859774,370,0.671905311074276
100,-3907.7990543332226,369,0.6618267314081618
101,-3921.637635925433,370,0.6518993304370394
102,-3964.9638516882983,373,0.6421208404804838
103,-3868.3922447876917,366,0.6324890278732765
104,-3928.509018802907,370,0.6230016924551773
105,-3944.779710726402,371,0.6136566670683496
106,-3944.183876334349,371,0.6044518170623244
107,-3986.5137436947334,374,0.5953850398063896
108,-3942.708647202329,371,0.5864542642092937
109,-3927.5817664089955,370,0.5776574502461543
110,-3955.5812506492416,372,0.568992588492462
111,-3936.9486100323406,371,0.5604576996650751
112,-3921.769523601051,370,0.5520508341700989
113,-3895.0367037493656,368,0.5437700716575474
114,-3996.396778642314,375,0.5356135205826842
115,-3927.076488421622,370,0.527579317773944
116,-3871.684113957271,366,0.5196656280073348
117,-3849.5592560913947,364,0.5118706435872248
118,-3845.758594162423,364,0.5041925839334164
119,-3880.4469344503027,367,0.49662969517441513
120,-3871.793449422969,366,0.4891802497467989
121,-3910.4360017084828,369,0.4818425460005969
