step,energy,activation_count,temperature
0,-2505.3421506712207,419,3.0
1,-2202.4054580545035,376,2.955
2,-2540.731411124908,383,2.910675
3,-2533.621082636689,384,2.8670148749999997
4,-2631.1896935725395,386,2.8240096518749995
5,-2610.2739773881967,388,2.7816495070968745
6,-2463.347401739134,374,2.7399247644904214
7,-2645.7700416727444,376,2.698825893023065
8,-2590.8874669847683,379,2.658343504627719
9,-2975.6672590552907,399,2.6184683520583034
10,-2621.789654443376,381,2.579191326777429
11,-2985.275537896305,394,2.5405034568757676
12,-2691.1690143562637,375,2.502395905022631
13,-2665.3824886855887,371,2.4648599664472917
14,-2675.7386637928253,365,2.427887066950582
15,-2837.422774912972,375,2.3914687609463234
16,-2923.5539303748374,376,2.3555967295321287
17,-3039.6525444532085,380,2.320262778589147
18,-2883.311237616633,371,2.2854588369103097
19,-3016.9987029340073,378,2.251176954356655
20,-2906.2557540081466,370,2.217409300041305
21,-2865.94044005337,371,2.1841481605406856
22,-3242.19814237118,387,2.1513859381325755
23,-3031.1385120218397,371,2.119115149060587
24,-3028.7903870345162,371,2.087328421824678
25,-3084.8456083825176,374,2.056018495497308
26,-3032.6885356422927,364,2.0251782180648483
27,-3070.4380835330358,369,1.9948005447938755
28,-3158.480532142049,371,1.9648785366219672
29,-3161.013988886595,369,1.9354053585726376
30,-3398.144757603963,386,1.906374278194048
31,-3155.229551236502,367,1.8777786640211374
32,-3065.5746439396125,357,1.8496119840608203
33,-3283.8042709294423,364,1.821867804299908
34,-3265.9192088088002,370,1.7945397872354092
35,-3459.3659915650333,379,1.767621690426878
36,-3544.902665635541,382,1.7411073650704747
37,-3325.8401072251922,364,1.7149907545944176
38,-3424.628834765076,365,1.6892658932755014
39,-3639.3988887059604,380,1.6639269048763687
40,-3486.875473342862,363,1.6389680013032233
41,-3574.9259343635517,371,1.6143834812836748
42,-3704.4143140949554,378,1.5901677290644196
43,-3556.217403556376,363,1.5663152131284532
44,-3513.53252259115,358,1.5428204849315263
45,-3541.8242117039954,359,1.5196781776575534
46,-3623.350523559477,372,1.49688300499269
47,-3611.1529120777705,369,1.4744297599177996
48,-3525.4530623743094,364,1.4523133135190325
49,-3655.4905340112596,373,1.430528613816247
50,-3743.3661129004254,372,1.4090706846090033
51,-3584.060465882142,359,1.3879346243398683
52,-3638.760158160943,367,1.3671156049747701
53,-3596.0959083643606,365,1.3466088709001485
54,-3695.776367789294,372,1.3264097378366462
55,-3731.5512119254777,371,1.3065135917690964
56,-3646.5057311545,364,1.28691588789256
57,-3816.722304472972,377,1.2676121495741715
58,-3762.3612319343,370,1.248597967330559
59,-3792.1063976027694,372,1.2298689978206006
60,-3912.849381104723,378,1.2114209628532915
61,-3813.390174753813,371,1.1932496484104922
62,-3721.9847746322203,363,1.1753509036843348
63,-3708.8328067077473,363,1.1577206401290698
64,-3741.615586664058,367,1.1403548305271338
65,-3754.061143577273,368,1.1232495080692269
66,-3743.8110456436225,364,1.1064007654481884
67,-3762.21815179526,366,1.0898047539664657
68,-3745.3237214466835,365,1.0734576826569686
69,-3711.7950615179925,363,1.057355817417114
70,-3957.455817532117,378,1.0414954801558574
71,-3822.0028363104993,369,1.0258730479535194
72,-3717.71958770014,362,1.0104849522342165
73,-3804.2980980334314,369,0.9953276779507033
74,-3757.9504597886344,363,0.9803977627814427
75,-3776.2502157211156,364,0.9656917963397211
76,-3894.337677785786,373,0.9512064193946252
77,-3819.383473599858,366,0.9369383231037058
78,-3888.2856708905033,372,0.9228842482571502
79,-3851.41663463187,369,0.909040984533293
80,-3793.703643259304,366,0.8954053697652935
81,-3903.8686132260914,372,0.881974289218814
82,-3930.686304746185,374,0.8687446748805319
83,-3836.7913764642376,367,0.8557135047573239
84,-3878.1753262169173,370,0.842877802185964
85,-3815.579322854798,365,0.8302346351531745
86,-3905.648581636951,372,0.8177811156258769
87,-3911.0114680274974,373,0.8055143988914887
88,-3887.0460973548443,371,0.7934316829081164
89,-3836.0049824801076,367,0.7815302076644947
90,-3891.810128818446,371,0.7698072545495273
91,-3849.8070160593047,368,0.7582601457312843
92,-3941.398052293104,374,0.7468862435453151
93,-3837.2778543918052,367,0.7356829498921353
94,-3924.641577466969,373,0.7246477056437532
95,-3905.980423423089,372,0.7137779900590969
96,-3842.5304063936633,367,0.7030713202082105
97,-3985.806409095066,377,0.6925252504050874
98,-3875.2754399427813,370,0.6821373716490111
