step,energy,activation_count,temperature
0,-2491.4646359952794,419,3.0
1,-2196.8603414479107,379,2.955
2,-2474.134879702378,379,2.910675
3,-2642.230649462471,391,2.8670148749999997
4,-2579.3221799278335,380,2.8240096518749995
5,-2874.325218148991,396,2.7816495070968745
6,-2423.968548817527,373,2.7399247644904214
7,-2850.003100773615,391,2.698825893023065
8,-2719.168226390331,383,2.658343504627719
9,-2894.0294859677388,390,2.6184683520583034
10,-2647.680872495435,376,2.579191326777429
11,-2732.93269776387,377,2.5405034568757676
12,-2625.672972567793,373,2.502395905022631
13,-2801.5856472962864,383,2.4648599664472917
14,-2859.8536944566863,383,2.427887066950582
15,-2803.1414783271857,380,2.3914687609463234
16,-2965.379859098142,383,2.3555967295321287
17,-2957.3231207995955,384,2.320262778589147
18,-2778.098780331721,366,2.2854588369103097
19,-2896.8459911237387,377,2.251176954356655
20,-2990.898275965626,375,2.217409300041305
21,-2925.102049220172,372,2.1841481605406856
22,-2983.78012354226,377,2.1513859381325755
23,-3052.7425434911797,378,2.119115149060587
24,-3054.7807838741924,374,2.087328421824678
25,-2932.116403594883,366,2.056018495497308
26,-3046.567682387374,373,2.0251782180648483
27,-3183.6759768147863,381,1.9948005447938755
28,-2918.561013455327,364,1.9648785366219672
29,-3019.0513345589998,370,1.9354053585726376
30,-3119.3195092907276,378,1.906374278194048
31,-3169.0740882560194,376,1.8777786640211374
32,-2963.828979395204,360,1.8496119840608203
33,-3330.3326968933948,380,1.821867804299908
34,-3188.4226822583655,373,1.7945397872354092
35,-3237.1695115182215,372,1.767621690426878
36,-3360.548991283437,377,1.7411073650704747
37,-3327.448087262056,371,1.7149907545944176
38,-3458.9217242413406,374,1.6892658932755014
39,-3360.64906682692,369,1.6639269048763687
40,-3460.5477957141675,370,1.6389680013032233
41,-3570.5225237018635,377,1.6143834812836748
42,-3495.051859119535,370,1.5901677290644196
43,-3747.122024009592,383,1.5663152131284532
44,-3576.2813782072544,375,1.5428204849315263
45,-3492.1898571558213,370,1.5196781776575534
46,-3518.363162345382,369,1.49688300499269
47,-3534.161032328154,369,1.4744297599177996
48,-3568.8640610327925,376,1.4523133135190325
49,-3605.3913811423477,377,1.430528613816247
50,-3634.0805169879445,374,1.4090706846090033
51,-3450.020000387355,358,1.3879346243398683
52,-3467.4506194566393,360,1.3671156049747701
53,-3556.3100112435723,364,1.3466088709001485
54,-3675.5704892980825,376,1.3264097378366462
55,-3629.44827208391,370,1.3065135917690964
56,-3790.5176792281222,380,1.28691588789256
57,-3720.075881056157,373,1.2676121495741715
58,-3649.0419869555303,367,1.248597967330559
59,-3740.6056030972,371,1.2298689978206006
60,-3777.3040825309067,374,1.2114209628532915
61,-3731.7126729121915,370,1.1932496484104922
62,-3718.5656757239267,370,1.1753509036843348
63,-3898.3796139636897,381,1.1577206401290698
64,-3908.9548215532172,382,1.1403548305271338
65,-3727.5117205731012,369,1.1232495080692269
66,-3735.542275319698,369,1.1064007654481884
67,-3832.0403217825487,376,1.0898047539664657
68,-3707.653999848794,367,1.0734576826569686
69,-3779.5877151111195,372,1.057355817417114
70,-3665.01661352856,363,1.0414954801558574
71,-3664.436716665402,361,1.0258730479535194
72,-3750.9145265842367,368,1.0104849522342165
73,-3906.4812376637346,378,0.9953276779507033
74,-3863.099051255098,375,0.9803977627814427
75,-3788.600057801286,370,0.9656917963397211
76,-3848.3667042557686,373,0.9512064193946252
77,-3883.0160453807216,375,0.9369383231037058
78,-3819.7298453998606,371,0.9228842482571502
79,-3855.2288399721588,373,0.909040984533293
80,-3759.7761555774246,367,0.8954053697652935
81,-3799.65224123215,369,0.881974289218814
82,-3786.4964435839647,369,0.8687446748805319
83,-3820.832630675644,371,0.8557135047573239
84,-3794.6049218066337,369,0.842877802185964
85,-3816.9186009817545,370,0.8302346351531745
86,-3871.4935553530945,374,0.8177811156258769
87,-3943.640705862466,378,0.8055143988914887
88,-3893.217354801865,375,0.7934316829081164
89,-3858.4315595641706,373,0.7815302076644947
90,-3938.027469151678,378,0.7698072545495273
91,-3873.6259560441763,374,0.7582601457312843
92,-3944.1314033338226,378,0.7468862435453151
93,-3813.5263205360416,370,0.7356829498921353
94,-3830.7246990546887,371,0.7246477056437532
95,-3914.574969044623,376,0.7137779900590969
96,-3919.0781592013395,376,0.7030713202082105
97,-3869.108740996989,373,0.6925252504050874
98,-3874.0377337380473,374,0.6821373716490111
