step,energy,activation_count,temperature
0,-2417.242435082336,419,3.0
1,-2164.01780710317,382,2.955
2,-2500.52249907453,388,2.910675
3,-2407.9006707807703,385,2.8670148749999997
4,-2542.4409379992017,385,2.8240096518749995
5,-2661.4095023854516,393,2.7816495070968745
6,-2554.7692964149232,385,2.7399247644904214
7,-2652.1109740383586,384,2.698825893023065
8,-2817.8413960722473,388,2.658343504627719
9,-2902.771793046742,394,2.6184683520583034
10,-2856.378551258953,387,2.579191326777429
11,-2771.0662116651033,386,2.5405034568757676
12,-2808.2883810998046,386,2.502395905022631
13,-2818.2444523383488,387,2.4648599664472917
14,-2629.527570121463,377,2.427887066950582
15,-2787.480252555559,383,2.3914687609463234
16,-3029.12973108987,395,2.3555967295321287
17,-2868.7757654697857,384,2.320262778589147
18,-2781.6185562989413,376,2.2854588369103097
19,-2785.822497517748,381,2.251176954356655
20,-2961.9347439254157,383,2.217409300041305
21,-2817.801090870589,375,2.1841481605406856
22,-2979.7426049639225,384,2.1513859381325755
23,-2908.2921603509126,379,2.119115149060587
24,-2961.8904040683487,379,2.087328421824678
25,-2801.4498647976548,367,2.056018495497308
26,-2827.3174202992814,361,2.0251782180648483
27,-2963.7442426735593,375,1.9948005447938755
28,-3066.96257021632,375,1.9648785366219672
29,-3187.1670483417793,377,1.9354053585726376
30,-3215.919797256926,385,1.906374278194048
31,-3195.828582627976,374,1.8777786640211374
32,-3183.0899950969756,375,1.8496119840608203
33,-3149.610158704609,373,1.821867804299908
34,-3161.190867829003,379,1.7945397872354092
35,-3334.72271509218,382,1.767621690426878
36,-3422.617369756813,384,1.7411073650704747
37,-3341.6426295732704,377,1.7149907545944176
38,-3400.5257563492037,377,1.6892658932755014
39,-3500.0280928492402,380,1.6639269048763687
40,-3582.889795791917,382,1.6389680013032233
41,-3447.476440052153,374,1.6143834812836748
42,-3531.0604999706884,379,1.5901677290644196
43,-3470.1222742096866,373,1.5663152131284532
44,-3482.025722112747,373,1.5428204849315263
45,-3506.0591029971747,375,1.5196781776575534
46,-3743.038517860955,387,1.49688300499269
47,-3611.9902343357962,378,1.4744297599177996
48,-3422.8650546059644,367,1.4523133135190325
49,-3687.5381855483806,383,1.430528613816247
50,-3744.2756561458864,381,1.4090706846090033
51,-3538.0287596624235,363,1.3879346243398683
52,-3724.3560055258476,379,1.3671156049747701
53,-3766.0641215467394,379,1.3466088709001485
54,-3871.449832171204,386,1.3264097378366462
55,-3963.8720136892534,387,1.3065135917690964
56,-3814.552400558411,379,1.28691588789256
