step,energy,activation_count,temperature
0,-2430.6859761995433,419,3.0
1,-2481.6714917992435,393,2.955
2,-2538.3947505850806,384,2.910675
3,-2803.9893475914296,394,2.8670148749999997
4,-2717.4093689748065,389,2.8240096518749995
5,-2838.022611029176,397,2.7816495070968745
6,-2653.5696192160904,386,2.7399247644904214
7,-2923.4916074236066,398,2.698825893023065
8,-2674.7619339229036,383,2.658343504627719
9,-2797.782648593627,387,2.6184683520583034
10,-2581.0465094924316,381,2.579191326777429
11,-2793.2355745573736,387,2.5405034568757676
12,-2686.2284710733225,379,2.502395905022631
13,-2812.324744426496,387,2.4648599664472917
14,-2716.0407299488197,380,2.427887066950582
15,-2766.6731139448693,377,2.3914687609463234
16,-2837.729404786351,383,2.3555967295321287
17,-2819.848656542127,385,2.320262778589147
18,-2734.1941415116517,374,2.2854588369103097
19,-2987.890058707067,388,2.251176954356655
20,-2929.895337124857,382,2.217409300041305
21,-3085.9146837065114,381,2.1841481605406856
22,-3180.9846677996984,387,2.1513859381325755
23,-3047.7191679295706,379,2.119115149060587
24,-2937.8574549126665,367,2.087328421824678
25,-3231.5374519763373,386,2.056018495497308
26,-3103.2790896336232,375,2.0251782180648483
27,-3440.807847904167,391,1.9948005447938755
28,-3307.5202370029515,385,1.9648785366219672
29,-3241.522854834209,379,1.9354053585726376
30,-3277.0331217824455,378,1.906374278194048
31,-3360.7893064157156,380,1.8777786640211374
32,-3320.8156582344513,373,1.8496119840608203
33,-3432.25116813427,380,1.821867804299908
34,-3345.2731022277617,375,1.7945397872354092
35,-3412.6496579396444,379,1.767621690426878
36,-3590.6889999134714,386,1.7411073650704747
37,-3392.1165152465596,370,1.7149907545944176
38,-3653.6681432104738,383,1.6892658932755014
39,-3596.67445869537,379,1.6639269048763687
40,-3463.6852616395845,372,1.6389680013032233
41,-3646.351625919144,382,1.6143834812836748
42,-3538.8037802382137,376,1.5901677290644196
43,-3587.025078689837,378,1.5663152131284532
44,-3697.9186381292247,381,1.5428204849315263
45,-3703.52075026606,378,1.5196781776575534
46,-3779.703725445562,382,1.49688300499269
47,-3711.0117405176147,380,1.4744297599177996
48,-3620.9886042978433,370,1.4523133135190325
49,-3671.29850616993,374,1.430528613816247
50,-3859.088606740444,386,1.4090706846090033
51,-3723.8908316947045,378,1.3879346243398683
52,-3910.3723444773,387,1.3671156049747701
53,-3613.140319613475,369,1.3466088709001485
54,-3721.088771155001,376,1.3264097378366462
55,-3783.5113538421942,380,1.3065135917690964
56,-3804.995725954354,379,1.28691588789256
57,-3762.4825186104817,379,1.2676121495741715
58,-3667.0902512168013,372,1.248597967330559
59,-3905.586537855,384,1.2298689978206006
60,-3790.6528333988576,378,1.2114209628532915
61,-3700.0114065121434,372,1.1932496484104922
62,-3732.5767547864925,373,1.1753509036843348
63,-3885.251559421074,381,1.1577206401290698
64,-3733.925482034462,372,1.1403548305271338
65,-3691.1266317214986,368,1.1232495080692269
66,-3676.350204132219,366,1.1064007654481884
67,-3757.381702842311,372,1.0898047539664657
68,-3797.853088142192,374,1.0734576826569686
69,-3857.2863944210044,378,1.057355817417114
70,-3930.7124341523017,382,1.0414954801558574
71,-3883.118517765667,379,1.0258730479535194
72,-3845.0232790896757,377,1.0104849522342165
73,-3888.764741776401,379,0.9953276779507033
74,-3911.2791064527823,381,0.9803977627814427
75,-3995.258429929763,385,0.9656917963397211
76,-3982.0607838567626,384,0.9512064193946252
77,-3814.580840342922,373,0.9369383231037058
78,-3865.9974364890368,377,0.9228842482571502
79,-3823.0666047390714,374,0.909040984533293
80,-3761.37340469271,369,0.8954053697652935
81,-3990.7962256244477,383,0.881974289218814
82,-3773.056848445771,370,0.8687446748805319
83,-3836.651824442563,373,0.8557135047573239
84,-3804.2312323150973,371,0.842877802185964
85,-3857.635125863821,375,0.8302346351531745
86,-3837.1339810793725,373,0.8177811156258769
87,-3866.563238028437,375,0.8055143988914887
88,-3952.149476236735,380,0.7934316829081164
89,-3906.8745027923874,377,0.7815302076644947
90,-3883.2493343408,376,0.7698072545495273
91,-3771.4498771690014,369,0.7582601457312843
92,-3832.900335411408,373,0.7468862435453151
93,-3840.3596458332836,373,0.7356829498921353
94,-3909.34948368677,377,0.7246477056437532
95,-3967.53262644095,380,0.7137779900590969
96,-3864.479409532394,374,0.7030713202082105
97,-3848.7753292550706,374,0.6925252504050874
98,-3870.9534053142665,375,0.6821373716490111
99,-3889.0207712186434,377,0.671905311074276
100,-3918.290047936149,378,0.6618267314081618
101,-3842.294535998297,373,0.6518993304370394
102,-3816.4199184060326,371,0.6421208404804838
103,-3778.3947542711594,368,0.6324890278732765
104,-3791.6513748724346,369,0.6230016924551773
105,-3866.2201657996775,374,0.6136566670683496
106,-3838.4195415205186,372,0.6044518170623244
107,-3867.6904900453565,374,0.5953850398063896
108,-3875.9397381956396,374,0.5864542642092937
109,-3940.330976019034,378,0.5776574502461543
110,-3973.682209076576,380,0.568992588492462
111,-3981.911116600412,380,0.5604576996650751
112,-3980.429925126154,380,0.5520508341700989
113,-3898.8592205816108,375,0.5437700716575474
114,-3888.715114164973,374,0.5356135205826842
115,-3909.8079006690646,375,0.527579317773944
116,-3929.421612467482,376,0.5196656280073348
117,-3928.723901596876,376,0.5118706435872248
118,-4035.3337808690517,382,0.5041925839334164
119,-3913.3139337305934,375,0.49662969517441513
120,-3897.2398400962393,374,0.4891802497467989
121,-3911.139698497513,375,0.4818425460005969
122,-3913.7253841666197,375,0.47461490781058796
123,-3977.9131766667874,379,0.46749568419342913
124,-3979.7521836020255,379,0.46048324893052767
125,-3910.153260184689,375,0.45357600019656974
126,-3940.56272144267,377,0.4467723601936212
127,-3912.896658389069,375,0.4400707747907169
128,-3998.0245042909514,380,0.43346971316885613
129,-3980.179427583946,379,0.4269676674713233
130,-3960.2433488085094,378,0.42056315245925346
131,-3947.79997053802,377,0.4142547051723647
132,-3932.2631571019833,376,0.4080408845947792
133,-3884.3642858764792,373,0.4019202713258575
134,-3932.2964366122546,376,0.39589146725596963
135,-3881.515862081076,373,0.38995309524713007
136,-3868.6491957734443,372,0.3841037988184231
137,-3839.22169272288,370,0.37834224183614673
138,-3932.2971412329252,376,0.37266710820860455
139,-3882.6527501062687,373,0.36707710158547546
140,-3914.4315911098697,375,0.36157094506169335
141,-3949.0875025086925,377,0.3561473808857679
142,-3932.5597551475144,376,0.3508051701724814
143,-3932.49391617681,376,0.3455430926198942
144,-3948.6306040392187,377,0.3403599462305958
145,-3915.725042143371,375,0.33525454703713686
146,-4000.3667233751935,380,0.3302257288315798
147,-3983.4973183070765,379,0.3252723428991061
148,-3948.539707459314,377,0.3203932577556195
149,-3915.8971882651854,375,0.3155873588892852
150,-3899.7575269319104,374,0.3108535485059459
151,-3868.8831011495977,372,0.30619074527835666
152,-3916.230224991105,375,0.3015978840991813
153,-3900.3615314746285,374,0.2970739158376936
154,-3932.6720835787264,376,0.2926178071001282
155,-3884.3809387825245,373,0.28822853999362624
156,-3949.0788228918013,377,0.28390511189372186
157,-4001.527728864897,380,0.279646535215316
158,-4019.484077221124,381,0.27545183718708627
159,-3948.1291585575777,377,0.27132005962927996
160,-3930.965322956271,376,0.26725025873484076
161,-3964.2411385897917,378,0.26324150485381814
162,-3965.745721411315,378,0.2592928822810109
163,-3947.3398263468966,377,0.2554034890467957
164,-3947.3398263468966,377,0.2515724367110938
165,-3916.11777559776,375,0.2477988501604274
166,-3949.4771229346084,377,0.24408186740802099
167,-3932.485193429204,376,0.24042063939690067
168,-3966.665300889784,378,0.23681432980594716
169,-3966.2952493515913,378,0.23326211485885795
170,-3966.331966010486,378,0.22976318313597507
171,-3966.4101396243027,378,0.22631673538893546
172,-4001.768814800384,380,0.22292198435810143
173,-4001.768814800384,380,0.2195781545927299
174,-3932.305424876057,376,0.21628448227383895
175,-3965.63636345122,378,0.21304021503973136
176,-3965.6809937637436,378,0.20984461181413538
177,-3949.1524802614067,377,0.20669694263692334
178,-3916.2806813735624,375,0.2035964884973695
179,-3949.73652284065,377,0.20054254116990897
180,-3949.73652284065,377,0.19753440305236034
