step,energy,activation_count,temperature
0,-2503.764537040176,419,3.0
1,-2420.2123217496105,387,2.955
2,-2393.6150361836376,377,2.910675
3,-2700.01547643363,390,2.8670148749999997
4,-2561.832430235324,379,2.8240096518749995
5,-2933.76405410614,396,2.7816495070968745
6,-2509.493290784252,374,2.7399247644904214
7,-2763.3449101546407,384,2.698825893023065
8,-2876.845537067367,387,2.658343504627719
9,-3045.8920451388876,396,2.6184683520583034
10,-2725.6949820780337,380,2.579191326777429
11,-2791.668123878372,384,2.5405034568757676
12,-2513.6761245850553,367,2.502395905022631
13,-2951.4814064469965,388,2.4648599664472917
14,-2804.352230360896,374,2.427887066950582
15,-2832.178237916666,376,2.3914687609463234
16,-2794.1552266976078,371,2.3555967295321287
17,-2828.957435928499,380,2.320262778589147
18,-2880.87107047404,377,2.2854588369103097
19,-2922.232342992244,376,2.251176954356655
20,-2943.7754125277584,373,2.217409300041305
21,-3005.36002666486,376,2.1841481605406856
22,-3013.4742412548953,374,2.1513859381325755
23,-2961.776727604115,374,2.119115149060587
24,-2987.200667819171,368,2.087328421824678
25,-2986.38980087322,371,2.056018495497308
26,-3173.7948218749348,381,2.0251782180648483
27,-3267.5218702707693,383,1.9948005447938755
28,-3381.667278475055,386,1.9648785366219672
29,-3340.3848479315925,382,1.9354053585726376
30,-3199.2919491409343,367,1.906374278194048
31,-3161.9939855946695,370,1.8777786640211374
32,-3206.2251525223433,371,1.8496119840608203
33,-3314.8535472079975,374,1.821867804299908
34,-3339.5688619183716,372,1.7945397872354092
35,-3327.6695692219446,373,1.767621690426878
36,-3279.9743264864755,369,1.7411073650704747
37,-3281.693003979398,365,1.7149907545944176
38,-3358.0042984961206,368,1.6892658932755014
39,-3574.9014249368734,379,1.6639269048763687
40,-3370.767013611897,363,1.6389680013032233
41,-3385.2624675729508,361,1.6143834812836748
42,-3441.110688360865,363,1.5901677290644196
43,-3524.3269039849542,371,1.5663152131284532
44,-3494.039145342424,367,1.5428204849315263
45,-3548.1135239501095,369,1.5196781776575534
46,-3655.3402341531,371,1.49688300499269
47,-3659.425405095593,372,1.4744297599177996
48,-3623.919799028756,364,1.4523133135190325
49,-3582.9056737457,363,1.430528613816247
50,-3651.8974294085738,369,1.4090706846090033
51,-3716.9841301762863,373,1.3879346243398683
52,-3662.634604751057,370,1.3671156049747701
