model,r2,rmse
GWR_AC,0.886784048557734,1.4236630363900435
GWR_CD,0.9059109127726772,1.3256588984370539
GWR_FC,0.8031849529169313,1.8656507194475183
GWR_SP,0.9003590807164299,1.385722156155879
Global_SAC,0.8758733471684476,1.527789238691705
Global_SAR,0.8791785534676247,1.4963781344567768
Global_SDM,0.8841142779800982,1.4625510977413716
Global_SEM,0.29566893443195563,3.6894346942033907
HGWR_Hybrid,0.9148848712141369,1.2479520245560707
LM_Diagnostics,,
OLS_all,0.4963341326422931,3.0222178880564075
