activity,model,r2,rmse,note
eating,OLS_all,0.7041718074640773,2.251180701051579,in-sample; n_features=27
eating,LM_Diagnostics,,,"KNN(k=8); LMlag p=0, LMerr p=0, RLMlag p=6.532e-61, RLMerr p=6.04e-66; recommend=SAC_or_SDM"
eating,Global_SAR,0.9239268846867092,1.1415795433236027,in-sample; selected=False; aic=6967.506; bic=7131.292; loglik=-3454.753; rho=0.9328; lambda=nan
eating,Global_SEM,,,error: only 0-dimensional arrays can be converted to Python scalars
eating,Global_SDM,0.9286291439697735,1.1057349318570722,in-sample; selected=True; aic=6915.589; bic=7231.865; loglik=-3401.795; rho=0.9483; lambda=nan
eating,Global_SAC,,,error: only 0-dimensional arrays can be converted to Python scalars
eating,GWR_SP,0.9182134333010745,1.1836725212571635,in-sample; bw=33.0; n_features=3
eating,GWR_FC,0.9230071669635901,1.1484596124427178,in-sample; bw=53.0; n_features=15
eating,GWR_AC,0.9448372745212446,0.9721055771740086,in-sample; bw=37.0; n_features=6
eating,GWR_CD,0.9375539320884839,1.0342919045749286,in-sample; bw=22.0; n_features=3
eating,HGWR_Hybrid,0.9555387772154569,0.8727327595162909,in-sample; AC:0.280; CD:0.210; FC:0.307; SP:0.203
nature,OLS_all,0.2682445777075966,1.7453944039114966,in-sample; n_features=27
nature,LM_Diagnostics,,,"KNN(k=8); LMlag p=0, LMerr p=0, RLMlag p=3.953e-57, RLMerr p=5.458e-17; recommend=SAC_or_SDM"
nature,Global_SAR,0.8426073887465051,0.8094737595314677,in-sample; selected=False; aic=5594.472; bic=5758.258; loglik=-2768.236; rho=0.9673; lambda=nan
nature,Global_SEM,,,error: only 0-dimensional arrays can be converted to Python scalars
nature,Global_SDM,0.8472048087916441,0.7975638253839786,in-sample; selected=True; aic=5572.221; bic=5888.497; loglik=-2730.111; rho=0.9611; lambda=nan
nature,Global_SAC,,,error: only 0-dimensional arrays can be converted to Python scalars
nature,GWR_SP,0.8825263531339873,0.6993278601434152,in-sample; bw=24.0; n_features=3
nature,GWR_FC,0.7251779013667715,1.069637032426052,in-sample; bw=89.0; n_features=15
nature,GWR_AC,0.8601665896926722,0.7629851394318085,in-sample; bw=41.0; n_features=6
nature,GWR_CD,0.8790988221943217,0.7094566607499616,in-sample; bw=24.0; n_features=3
nature,HGWR_Hybrid,0.8985770428400868,0.6497985517657098,in-sample; AC:0.199; CD:0.286; FC:0.159; SP:0.355
community,OLS_all,0.6297543903275054,1.5020951013276973,in-sample; n_features=27
community,LM_Diagnostics,,,"KNN(k=8); LMlag p=0, LMerr p=0, RLMlag p=4.423e-63, RLMerr p=9.072e-39; recommend=SAC_or_SDM"
community,Global_SAR,0.9011204410823015,0.776257360688283,in-sample; selected=False; aic=5368.036; bic=5531.822; loglik=-2655.018; rho=0.9427; lambda=nan
community,Global_SEM,,,error: only 0-dimensional arrays can be converted to Python scalars
community,Global_SDM,0.905785459651871,0.7577246886016908,in-sample; selected=True; aic=5333.235; bic=5649.511; loglik=-2610.617; rho=0.9493; lambda=nan
community,Global_SAC,,,error: only 0-dimensional arrays can be converted to Python scalars
community,GWR_SP,0.9191010333680546,0.7021403932426425,in-sample; bw=22.0; n_features=3
community,GWR_FC,0.8418890764920712,0.9815974211724126,in-sample; bw=72.0; n_features=15
community,GWR_AC,0.908036901076781,0.7486162841780662,in-sample; bw=39.0; n_features=6
community,GWR_CD,0.9191412016470157,0.7019660568191266,in-sample; bw=22.0; n_features=3
community,HGWR_Hybrid,0.9286765452716753,0.659278110823582,in-sample; AC:0.261; CD:0.295; FC:0.254; SP:0.190
walking,OLS_all,0.5103188751763021,1.683589151557018,in-sample; n_features=27
walking,LM_Diagnostics,,,"KNN(k=8); LMlag p=0, LMerr p=0, RLMlag p=7.203e-67, RLMerr p=1.468e-13; recommend=SAC_or_SDM"
walking,Global_SAR,0.8666817499594246,0.8784645466716885,in-sample; selected=False; aic=5885.351; bic=6049.137; loglik=-2913.676; rho=0.9420; lambda=nan
walking,Global_SEM,,,error: only 0-dimensional arrays can be converted to Python scalars
walking,Global_SDM,0.872276660418625,0.8598339111861879,in-sample; selected=True; aic=5839.158; bic=6155.434; loglik=-2863.579; rho=0.9362; lambda=nan
walking,Global_SAC,,,error: only 0-dimensional arrays can be converted to Python scalars
walking,GWR_SP,0.8946550105555088,0.7808837378086033,in-sample; bw=24.0; n_features=3
walking,GWR_FC,0.7624768833213267,1.1725527193857428,in-sample; bw=103.0; n_features=15
walking,GWR_AC,0.8778339437497138,0.8409200621524182,in-sample; bw=41.0; n_features=6
walking,GWR_CD,0.8988793255544617,0.7650669042532404,in-sample; bw=22.0; n_features=3
