embedding_index,grid_id,cluster,activity,has_text,comfort_anchor_similarity,discomfort_anchor_similarity,comfort_raw_score,comfort_score
0,2,2,walking,True,0.030962829,0.035112675,-0.0041498467,0.51303303
1,2,1,community,True,0.10156397,0.12595344,-0.024389468,0.4544115
2,2,6,eating,True,0.0574143,0.062779285,-0.0053649843,0.50951356
3,2,7,sightseeing,True,0.2404151,0.2526983,-0.012283206,0.48947582
4,2,5,community,False,,,,
5,2,4,,True,0.044121154,0.03657998,0.007541172,0.54689467
6,2,7,sightseeing,True,0.10390245,0.096371636,0.007530816,0.5468646
7,2,7,sightseeing,False,,,,
8,2,4,,True,0.07958714,0.034303892,0.045283247,0.6562099
9,2,6,eating,True,0.08799377,0.07778149,0.01021228,0.5546312
10,2,4,,True,0.108570985,0.047648862,0.060922123,0.7015059
11,2,5,community,False,,,,
12,2,6,eating,True,0.11476504,0.092599034,0.022166006,0.58925366
13,2,1,community,True,0.12734714,0.12784454,-0.00049740076,0.5236119
14,2,6,eating,True,0.08145549,0.08576962,-0.004314132,0.51255727
15,2,0,eating,True,0.058767363,0.024077643,0.03468972,0.625527
16,2,7,sightseeing,True,0.08816077,0.080138475,0.008022293,0.54828817
17,2,2,walking,True,0.11333867,0.07989186,0.03344681,0.62192714
18,2,6,eating,True,0.06293278,0.078116626,-0.015183844,0.48107448
19,2,6,eating,True,0.025170375,-0.027462248,0.052632622,0.67749643
20,2,3,nature,True,0.09722657,0.15509945,-0.057872884,0.357431
21,2,6,eating,True,0.16031717,0.15565565,0.0046615154,0.5385541
22,2,7,sightseeing,True,0.121313244,0.10027148,0.021041766,0.58599746
23,2,5,community,True,0.039912876,0.059341572,-0.019428696,0.46877977
24,2,7,sightseeing,True,0.11162662,0.11559467,-0.0039680526,0.5135596
25,2,2,walking,True,0.09877688,0.120991096,-0.022214219,0.46071187
26,2,7,sightseeing,True,0.10276368,0.09431143,0.008452252,0.5495335
27,2,7,sightseeing,True,0.011727507,0.06334675,-0.051619243,0.37554386
28,2,2,walking,True,0.05101558,0.11695048,-0.065934904,0.33408034
29,2,7,sightseeing,True,0.046096288,0.04315097,0.0029453188,0.53358334
30,2,7,sightseeing,True,0.15024406,0.102449015,0.047795042,0.663485
31,2,7,sightseeing,True,0.042756308,0.026249237,0.01650707,0.5728633
32,2,2,walking,True,0.06792972,0.05372757,0.014202151,0.5661873
33,2,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
34,2,2,walking,True,0.1514418,0.108124234,0.043317564,0.6505165
35,2,1,community,True,0.12532812,0.08789848,0.037429646,0.6334629
36,2,1,community,True,0.02732053,-0.020339927,0.047660455,0.6630952
37,2,1,community,True,0.06252927,0.04438892,0.018140353,0.57759386
38,2,2,walking,True,0.058501504,0.022927657,0.035573848,0.62808776
39,2,2,walking,True,0.116618805,0.16228908,-0.04567028,0.39277434
40,2,1,community,True,0.11759682,0.07995977,0.037637047,0.6340636
41,2,7,sightseeing,True,0.12428048,0.057467997,0.066812485,0.71856666
42,2,2,walking,True,0.058130514,0.048486926,0.009643588,0.552984
43,2,1,community,True,0.15398312,0.1317772,0.022205919,0.58936924
44,2,7,sightseeing,True,0.1122527,0.05568141,0.056571286,0.6889043
45,2,1,community,True,0.07095908,0.07920649,-0.008247413,0.501165
46,2,4,,False,,,,
47,2,1,community,True,0.08294349,0.028027998,0.054915495,0.68410844
48,2,2,walking,True,0.0409549,0.019759117,0.021195782,0.58644354
49,3,2,walking,True,0.05536513,0.06932593,-0.013960801,0.48461685
50,3,4,,False,,,,
51,3,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
52,3,7,sightseeing,True,0.10310127,0.09510141,0.00799986,0.5482232
53,3,2,walking,True,0.11837545,0.087525606,0.030849844,0.61440533
54,3,2,walking,True,0.13179544,0.13741285,-0.00561741,0.50878245
55,3,2,walking,False,,,,
56,3,4,,False,,,,
57,3,4,,False,,,,
58,3,4,,False,,,,
59,3,4,,False,,,,
60,3,4,,False,,,,
61,3,4,,False,,,,
62,3,1,community,True,0.06474588,0.07242392,-0.0076780394,0.5028141
63,6,5,community,True,0.084164254,0.04673478,0.037429474,0.6334624
64,6,2,walking,True,0.022578144,-0.005715296,0.02829344,0.607001
65,6,3,nature,False,,,,
66,6,2,walking,False,,,,
67,6,3,nature,True,0.084295064,0.099669866,-0.015374802,0.48052135
68,6,2,walking,True,0.13796699,0.08085246,0.057114534,0.6904777
69,6,4,,False,,,,
70,6,7,sightseeing,True,0.15439439,0.11431059,0.040083796,0.6411503
71,6,5,community,True,0.12429492,0.0888559,0.035439022,0.6276973
72,6,3,nature,True,0.1595928,0.12438458,0.035208225,0.6270288
73,6,7,sightseeing,True,0.07623232,0.049117535,0.027114786,0.60358715
74,6,2,walking,True,0.09329187,0.037600763,0.055691108,0.68635494
75,6,2,walking,True,0.12678126,0.038136866,0.088644385,0.78180003
76,6,7,sightseeing,True,0.07775551,0.063965924,0.013789587,0.5649924
77,6,2,walking,True,0.08328161,0.026994217,0.05628739,0.688082
78,6,1,community,True,0.17792097,0.12291107,0.055009894,0.6843819
79,6,2,walking,True,0.16006494,0.13486826,0.025196671,0.5980316
80,6,7,sightseeing,True,-0.0044280775,0.0022986988,-0.0067267762,0.50556934
81,6,5,community,False,,,,
82,6,7,sightseeing,True,0.02485414,0.010290839,0.014563302,0.5672334
83,6,6,eating,True,0.17304341,0.13350712,0.039536297,0.6395646
84,6,2,walking,True,0.1442483,0.079167254,0.06508105,0.71355176
85,6,5,community,True,0.15321292,0.12094599,0.03226693,0.6185097
86,6,2,walking,True,0.009983422,0.09292222,-0.0829388,0.2848307
87,6,5,community,True,0.11388693,0.04222583,0.0716611,0.7326101
88,6,5,community,True,0.118987486,0.09463851,0.024348974,0.59557635
89,6,5,community,True,-0.0014920728,0.008100166,-0.009592239,0.49726987
90,6,3,nature,True,0.2033933,0.082798116,0.12059518,0.87434155
91,7,7,sightseeing,True,0.12077149,0.09589467,0.024876818,0.5971052
92,7,7,sightseeing,True,0.029783944,0.008158332,0.021625612,0.58768845
93,7,0,eating,True,0.10801713,0.086123,0.021894135,0.58846617
94,7,7,sightseeing,True,0.0967271,0.075507596,0.021219507,0.58651227
95,7,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
96,7,7,sightseeing,True,0.17394279,0.12748742,0.04645537,0.6596048
97,7,2,walking,False,,,,
98,7,0,eating,True,0.054733627,0.03520094,0.019532688,0.58162653
99,7,0,eating,True,0.06816877,0.07676643,-0.008597665,0.5001505
100,7,0,eating,True,0.07056992,0.031573083,0.038996834,0.63800204
101,7,6,eating,True,0.10238939,0.06948393,0.03290546,0.6203591
102,8,7,sightseeing,True,0.10657717,0.10648931,8.78647e-05,0.52530706
103,8,4,,True,0.12802412,0.07871183,0.049312286,0.6678795
104,8,3,nature,True,0.17586048,0.14012012,0.03574036,0.6285701
105,8,3,nature,True,0.22286043,0.13615893,0.0867015,0.7761727
106,8,6,eating,True,0.03275834,0.032670204,8.813664e-05,0.5253079
107,8,2,walking,True,0.14570543,0.11516719,0.030538239,0.61350274
108,8,1,community,True,0.1738812,0.14201066,0.031870544,0.61736166
109,9,5,community,True,0.06617542,-0.024614712,0.09079014,0.78801495
110,9,1,community,True,0.12864543,0.16841274,-0.03976731,0.40987152
111,9,5,community,True,0.09891528,0.11103037,-0.012115091,0.48996273
112,9,1,community,True,0.055712752,0.00097049307,0.054742258,0.68360674
113,9,4,,True,0.046181545,0.061532244,-0.015350699,0.4805912
114,9,2,walking,True,0.11239497,0.1208061,-0.008411124,0.5006908
115,9,4,,False,,,,
116,9,5,community,True,0.09672707,0.075507596,0.021219477,0.58651215
117,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
118,9,5,community,True,0.03286427,0.027886737,0.0049775317,0.53946936
119,9,4,,False,,,,
120,9,5,community,False,,,,
121,9,4,,False,,,,
122,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
123,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
124,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
125,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
126,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
127,9,1,community,True,0.09856145,0.09676052,0.001800932,0.5302687
128,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
129,9,2,walking,True,0.14570393,0.061697923,0.084006004,0.76836556
130,9,5,community,True,0.12719844,0.09391384,0.033284605,0.6214573
131,9,5,community,True,0.12954314,0.0775747,0.05196844,0.6755727
132,9,7,sightseeing,True,0.17308071,0.14294395,0.030136764,0.61234
133,9,5,community,True,0.030225594,0.02592058,0.0043050144,0.53752154
134,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
135,9,5,community,False,,,,
136,9,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
137,9,5,community,True,0.12719844,0.09391384,0.033284605,0.6214573
138,9,1,community,False,,,,
139,9,2,walking,True,0.11724618,0.11634041,0.0009057671,0.52767605
140,9,6,eating,True,0.20628014,0.19156349,0.014716655,0.56767756
141,9,1,community,True,0.08620538,0.045170844,0.041034535,0.64390403
142,9,1,community,True,0.10420596,0.0833164,0.020889558,0.58555657
143,9,3,nature,True,0.06119021,0.08275144,-0.021561228,0.46260315
144,9,7,sightseeing,False,,,,
145,10,5,community,True,0.09856145,0.09676052,0.001800932,0.5302687
146,10,5,community,True,0.080925174,0.07556163,0.0053635463,0.5405874
147,11,4,,False,,,,
148,11,1,community,True,0.12608287,0.101544105,0.024538763,0.596126
149,11,2,walking,False,,,,
150,11,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
151,11,5,community,True,0.112396635,0.10681375,0.005582884,0.5412227
152,11,2,walking,True,0.1145178,0.114931874,-0.00041407347,0.52385324
153,11,2,walking,True,0.0746705,0.04443011,0.03024039,0.6126401
154,11,2,walking,True,0.05846518,0.038611002,0.019854177,0.58255774
155,11,0,eating,False,,,,
156,11,5,community,True,0.12694058,0.10622961,0.020710967,0.5850393
157,11,2,walking,True,0.21028727,0.15566,0.05462727,0.6832737
158,11,7,sightseeing,True,0.12817591,0.08740181,0.040774107,0.64314973
159,11,7,sightseeing,True,0.07790564,0.053190827,0.024714813,0.59663594
160,11,2,walking,False,,,,
161,11,0,eating,False,,,,
162,11,0,eating,False,,,,
163,11,0,eating,False,,,,
164,11,1,community,True,0.14136109,0.06934594,0.072015144,0.7336355
165,11,7,sightseeing,True,0.14972055,0.085228644,0.064491905,0.71184534
166,11,5,community,True,0.09672707,0.075507596,0.021219477,0.58651215
167,11,1,community,True,0.09672707,0.075507596,0.021219477,0.58651215
168,11,5,community,True,0.09672707,0.075507596,0.021219477,0.58651215
169,11,7,sightseeing,True,0.062842295,0.05534635,0.0074959435,0.54676366
170,11,5,community,True,0.086289704,0.070988625,0.015301079,0.56937027
171,11,5,community,True,0.10052744,0.03448178,0.066045664,0.71634567
172,11,1,community,True,0.13442373,0.08109798,0.05332575,0.679504
173,11,2,walking,True,0.102188066,0.055777963,0.046410102,0.65947366
174,11,2,walking,True,0.0028926653,0.038710386,-0.03581772,0.42131105
175,11,1,community,True,0.06545086,0.019657157,0.045793705,0.6576884
176,11,1,community,True,0.13224663,0.09686627,0.035380356,0.6275274
177,14,1,community,True,0.12280011,0.11873271,0.0040673986,0.5368333
178,14,4,,True,0.12169884,0.15723237,-0.035533533,0.42213413
179,14,7,sightseeing,True,0.08042046,0.1044454,-0.024024941,0.45546734
180,14,3,nature,True,0.074391454,0.108666316,-0.03427486,0.4257797
181,14,3,nature,True,0.10347292,0.05335713,0.050115786,0.6702067
182,14,3,nature,True,0.12073469,0.080846235,0.039888456,0.6405845
183,14,3,nature,True,0.15006493,0.084425375,0.065639555,0.71516937
184,14,3,nature,True,0.11753846,0.070493594,0.047044866,0.6613122
185,14,3,nature,True,0.13176742,0.0530497,0.07871772,0.7530486
186,14,3,nature,False,,,,
187,14,4,,True,0.017473958,-0.005817094,0.023291051,0.5925122
188,14,6,eating,True,0.06894879,0.0461223,0.022826489,0.5911667
189,14,6,eating,True,0.15512896,0.123505965,0.03162299,0.6166446
190,14,6,eating,True,0.15426597,0.12410031,0.030165657,0.61242366
191,14,6,eating,True,0.036816496,0.05415152,-0.017335024,0.47484383
192,14,7,sightseeing,True,0.066362455,0.036766708,0.029595748,0.61077297
193,14,6,eating,True,0.043959647,0.0017877184,0.04217193,0.6471983
194,14,3,nature,True,0.09351809,0.10720987,-0.0136917755,0.48539603
195,15,5,community,True,0.050083317,0.023711111,0.026372205,0.6014364
196,15,1,community,True,0.09137929,0.11719884,-0.025819547,0.4502695
197,15,4,,True,0.11706461,0.06657025,0.050494358,0.6713032
198,15,4,,True,-0.014181538,0.02870126,-0.0428828,0.40084788
199,15,6,eating,True,0.060626052,0.01749025,0.043135803,0.6499901
200,17,2,walking,True,0.02066313,0.098403126,-0.07774,0.29988834
201,17,2,walking,True,0.01624171,-0.019709878,0.03595159,0.62918186
202,17,5,community,False,,,,
203,17,5,community,True,0.09561655,0.08587202,0.009744532,0.55327636
204,17,2,walking,True,0.081272855,0.119471356,-0.0381985,0.4144154
205,17,6,eating,True,0.07344009,0.036900714,0.036539376,0.63088435
206,17,6,eating,True,0.1518408,0.13395433,0.017886475,0.5768585
207,17,7,sightseeing,False,,,,
208,17,5,community,True,0.107980214,0.074739434,0.03324078,0.6213304
209,17,4,,True,0.010501411,0.02036723,-0.009865819,0.49647745
210,17,3,nature,True,0.14066017,0.1187781,0.021882065,0.58843124
211,17,2,walking,True,0.27316654,0.2580842,0.0150823295,0.5687367
212,17,2,walking,True,0.17690657,0.13726065,0.039645925,0.6398821
213,17,7,sightseeing,True,-0.02178337,0.0029264884,-0.024709858,0.45348358
214,17,1,community,True,0.13227704,0.09473483,0.03754221,0.63378894
215,17,7,sightseeing,True,0.1437733,0.10873015,0.03504315,0.62655073
216,17,1,community,True,0.07857323,0.080661975,-0.002088748,0.51900274
217,17,1,community,True,0.054947644,0.04695774,0.007989906,0.54819435
218,18,1,community,True,0.16495165,0.112741336,0.052210316,0.6762733
219,18,5,community,False,,,,
220,19,5,community,False,,,,
221,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
222,19,6,eating,True,0.067228466,0.07181096,-0.0045824945,0.51177996
223,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
224,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
225,19,7,sightseeing,True,0.1387521,0.12263429,0.016117811,0.5717358
226,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
227,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
228,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
229,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
230,19,6,eating,True,0.13317758,0.08457011,0.04860747,0.66583806
231,19,6,eating,True,0.04407952,0.13062653,-0.08654701,0.27437994
232,19,7,sightseeing,True,0.10083183,0.07971521,0.021116622,0.58621424
233,19,0,eating,True,0.12979585,0.10900051,0.020795338,0.5852837
234,19,5,community,True,0.082972825,0.074487165,0.00848566,0.5496302
235,19,6,eating,True,0.10887522,0.023792129,0.0850831,0.7714852
236,19,0,eating,True,0.1021213,0.078775465,0.023345836,0.59267086
237,19,0,eating,True,0.08699942,-0.0017971913,0.08879661,0.7822409
238,19,6,eating,True,0.0054841386,-0.050253086,0.055737223,0.6864885
239,19,0,eating,True,0.1062755,0.020506212,0.08576929,0.77347267
240,19,6,eating,True,0.14543279,0.08736539,0.058067396,0.69323754
241,19,5,community,True,0.08842198,0.05860338,0.029818598,0.6114184
242,19,4,,True,0.1527767,0.09571084,0.057065867,0.69033676
243,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
244,19,0,eating,True,0.094501406,0.101811424,-0.007310018,0.50388
245,19,0,eating,True,0.12157824,0.080974385,0.040603854,0.64265656
246,19,0,eating,True,0.016712701,0.013052715,0.003659986,0.5356533
247,19,0,eating,True,0.122587144,0.07549149,0.047095656,0.66145927
248,19,0,eating,True,0.058172196,-0.002904683,0.06107688,0.7019542
249,19,0,eating,True,0.03310891,0.015137908,0.017971002,0.5771034
250,19,0,eating,True,0.14531323,0.09735243,0.047960803,0.6639651
251,19,0,eating,True,0.06605431,0.028541896,0.03751241,0.6337026
252,19,6,eating,True,0.09551099,0.056208536,0.039302453,0.6388872
253,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
254,19,7,sightseeing,True,0.09191902,0.074949585,0.016969435,0.5742025
255,19,7,sightseeing,True,0.053998813,0.04770566,0.0062931515,0.5432799
256,19,7,sightseeing,True,0.053998813,0.04770566,0.0062931515,0.5432799
257,19,7,sightseeing,True,0.053998813,0.04770566,0.0062931515,0.5432799
258,19,7,sightseeing,True,0.053998813,0.04770566,0.0062931515,0.5432799
259,20,3,nature,True,0.016150579,-0.0041199992,0.020270579,0.58376384
260,20,7,sightseeing,True,0.24513867,0.2827064,-0.037567735,0.41624233
261,20,4,,True,0.080930315,0.051699642,0.029230673,0.6097156
262,20,0,eating,True,0.059786003,0.063172765,-0.003386762,0.51524323
