embedding_index,grid_id,cluster
0,2,2
1,2,1
2,2,6
3,2,7
4,2,5
5,2,4
6,2,7
7,2,7
8,2,4
9,2,6
10,2,4
11,2,5
12,2,6
13,2,1
14,2,6
15,2,0
16,2,7
17,2,2
18,2,6
19,2,6
20,2,3
21,2,6
22,2,7
23,2,5
24,2,7
25,2,2
26,2,7
27,2,7
28,2,2
29,2,7
30,2,7
31,2,7
32,2,2
33,2,2
34,2,2
35,2,1
36,2,1
37,2,1
38,2,2
39,2,2
40,2,1
41,2,7
42,2,2
43,2,1
44,2,7
45,2,1
46,2,4
47,2,1
48,2,2
49,3,2
50,3,4
51,3,2
52,3,7
53,3,2
54,3,2
55,3,2
56,3,4
57,3,4
58,3,4
59,3,4
60,3,4
61,3,4
62,3,1
63,6,5
64,6,2
65,6,3
66,6,2
67,6,3
68,6,2
69,6,4
70,6,7
71,6,5
72,6,3
73,6,7
74,6,2
75,6,2
76,6,7
77,6,2
78,6,1
79,6,2
80,6,7
81,6,5
82,6,7
83,6,6
84,6,2
85,6,5
86,6,2
87,6,5
88,6,5
89,6,5
90,6,3
91,7,7
92,7,7
93,7,0
94,7,7
95,7,2
96,7,7
97,7,2
98,7,0
99,7,0
100,7,0
101,7,6
102,8,7
103,8,4
104,8,3
105,8,3
106,8,6
107,8,2
108,8,1
109,9,5
110,9,1
111,9,5
112,9,1
113,9,4
114,9,2
115,9,4
116,9,5
117,9,5
118,9,5
119,9,4
120,9,5
121,9,4
122,9,5
123,9,5
124,9,5
125,9,5
126,9,5
127,9,1
128,9,5
129,9,2
130,9,5
131,9,5
132,9,7
133,9,5
134,9,5
135,9,5
136,9,5
137,9,5
138,9,1
139,9,2
140,9,6
141,9,1
142,9,1
143,9,3
144,9,7
145,10,5
146,10,5
147,11,4
148,11,1
149,11,2
150,11,2
151,11,5
152,11,2
153,11,2
154,11,2
155,11,0
156,11,5
157,11,2
158,11,7
159,11,7
160,11,2
161,11,0
162,11,0
163,11,0
164,11,1
165,11,7
166,11,5
167,11,1
168,11,5
169,11,7
170,11,5
171,11,5
172,11,1
173,11,2
174,11,2
175,11,1
176,11,1
177,14,1
178,14,4
179,14,7
180,14,3
181,14,3
182,14,3
183,14,3
