id,longitude,latitude,eating,nature,community,walking,sightseeing,avg_comfort_score,avg_comfort_eating,avg_comfort_nature,avg_comfort_community,avg_comfort_walking,avg_comfort_sightseeing
0,103.61,1.23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,103.61,1.235,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,103.61,1.25,8,1,3,11,13,0.5591163,0.5610759,0.357431,0.46877977,0.53575075,0.56555545
3,103.61,1.26,0,0,0,5,1,0.54089236,0.0,0.0,0.0,0.5485792,0.5482232
4,103.61,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,103.61,1.27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,103.615,1.23,1,4,7,9,5,0.6226511,0.6395646,0.6606305,0.617521,0.63126624,0.5765065
7,103.615,1.235,5,0,0,2,4,0.5946027,0.5857209,0.0,0.0,0.58651227,0.60772765
8,103.615,1.24,1,2,0,1,1,0.6220145,0.5253079,0.70237136,0.0,0.61350274,0.52530706
9,103.615,1.245,1,1,19,3,2,0.5657082,0.56767756,0.46260315,0.56661093,0.5989108,0.61234
10,103.615,1.25,0,0,2,0,0,0.53542805,0.0,0.0,0.53542805,0.0,0.0
11,103.615,1.255,4,0,6,9,4,0.6101744,0.0,0.0,0.5975004,0.5813745,0.6245987
12,103.615,1.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,103.615,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,103.615,1.27,5,8,0,0,2,0.5830291,0.5884554,0.6216425,0.0,0.0,0.53312016
15,103.615,1.275,1,0,1,0,0,0.5547694,0.6499901,0.0,0.6014364,0.0,0.0
16,103.62,1.25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,103.62,1.265,2,1,3,5,3,0.5500239,0.60387146,0.58843124,0.5873034,0.5104209,0.5400171
18,103.62,1.27,0,0,1,0,0,0.6762733,0.0,0.0,0.0,0.0,0.0
19,103.62,1.275,19,0,3,0,16,0.6005426,0.6261126,0.0,0.5805243,0.0,0.5670684
20,103.62,1.28,12,1,0,2,3,0.5511529,0.5478075,0.58376384,0.0,0.58031076,0.44917214
21,103.62,1.285,0,3,3,6,14,0.5792757,0.0,0.587112,0.57849264,0.57058203,0.57246304
22,103.62,1.29,4,1,4,3,5,0.6129385,0.54518616,0.7319382,0.5836234,0.71702117,0.5910443
23,103.62,1.295,1,2,6,3,0,0.5891762,0.7378582,0.7100953,0.56877655,0.6134788,0.0
24,103.62,1.3,0,0,1,0,0,0.31666994,0.0,0.0,0.31666994,0.0,0.0
25,103.625,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,103.625,1.27,7,0,1,1,13,0.54564136,0.56579113,0.0,0.57181543,0.51595163,0.5486141
27,103.625,1.275,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,103.625,1.28,4,1,3,1,1,0.58865887,0.66631144,0.6555681,0.5819145,0.41841272,0.61480796
29,103.625,1.285,3,0,4,1,0,0.5315327,0.55787617,0.0,0.5347536,0.6101112,0.0
30,103.625,1.29,0,2,0,0,0,0.635709,0.0,0.5602647,0.0,0.0,0.0
31,103.625,1.295,3,1,4,4,0,0.58833414,0.4819753,0.5591924,0.6540618,0.5945014,0.0
32,103.625,1.3,3,0,22,3,0,0.6634801,0.5440414,0.0,0.69249123,0.5319749,0.0
33,103.625,1.305,0,2,6,3,2,0.51967794,0.0,0.5523273,0.5331281,0.4663043,0.5274521
34,103.625,1.31,1,1,6,10,2,0.5917626,0.68165255,0.6637659,0.5865479,0.53645456,0.58702195
35,103.63,1.265,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,103.63,1.27,15,3,6,13,4,0.5578705,0.5498958,0.58641976,0.58324903,0.6247035,0.5539631
37,103.63,1.275,0,0,0,2,0,0.4908503,0.0,0.0,0.0,0.4230124,0.0
38,103.63,1.28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,103.63,1.285,8,0,3,1,4,0.60147613,0.6215267,0.0,0.6219662,0.0,0.62049073
40,103.63,1.29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,103.63,1.295,0,2,0,3,0,0.6940378,0.0,0.7446843,0.0,0.5845469,0.0
42,103.63,1.3,2,2,1,3,4,0.57436675,0.4519378,0.5649422,0.67351687,0.8200643,0.5540817
43,103.63,1.305,1,0,1,2,2,0.56543905,0.59694034,0.0,0.3820477,0.58651227,0.5638509
44,103.63,1.31,15,3,8,3,6,0.6165841,0.6633292,0.63522243,0.63047916,0.6798104,0.56888986
45,103.63,1.315,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,103.63,1.32,13,1,5,2,3,0.5883114,0.60377014,0.5096031,0.61463827,0.5501592,0.61425227
47,103.63,1.325,0,0,2,1,0,0.49969763,0.0,0.0,0.5271779,0.44064742,0.0
48,103.635,1.265,1,0,3,2,5,0.65004253,0.5693831,0.0,0.71212405,0.6527364,0.6661026
49,103.635,1.27,0,0,1,0,0,0.49357712,0.0,0.0,0.43927386,0.0,0.0
